lexicon,word,homophones,mps,neighbors,length
real,imju,0,0.0,1.0,4
real,slINk,0,3.0,6.0,5
real,mInstr@l,0,0.0,1.0,8
real,k{vP,0,5.0,5.0,4
real,k$d@rQI,0,0.0,0.0,7
real,Int3R,0,0.0,0.0,5
real,k@mp#Il,0,0.0,0.0,7
real,d#U@l,0,3.0,3.0,5
real,k#nIvP,0,0.0,0.0,6
real,{kjUm@n,0,0.0,0.0,7
real,SVvP,0,2.0,3.0,4
real,skIp,0,12.0,16.0,4
real,skIt,0,15.0,20.0,4
real,b{skjul,0,0.0,0.0,7
real,skIm,0,10.0,11.0,4
real,skIl,0,14.0,16.0,4
real,skIn,0,12.0,15.0,4
real,skId,0,9.0,11.0,4
real,skIf,0,12.0,13.0,4
real,swEl,0,7.0,9.0,4
real,krQk@d#Il,0,0.0,0.0,9
real,t1nt,0,7.0,7.0,4
real,swEt,0,3.0,5.0,4
real,bIb,0,15.0,15.0,3
real,m#Und,0,8.0,8.0,5
real,rIb@ld,0,1.0,1.0,6
real,m#Unt,0,3.0,3.0,5
real,st{mIn@,0,0.0,0.0,7
real,Sr#Ik,0,2.0,2.0,5
real,Sr#In,0,3.0,4.0,5
real,p#I@rI@,0,0.0,0.0,7
real,_#Ust,0,0.0,1.0,5
real,g@vQt,0,0.0,0.0,5
real,m1tr@n,0,0.0,0.0,6
real,ful,0,17.0,17.0,3
real,Sr#Iv,0,5.0,6.0,5
real,p{d,0,18.0,21.0,3
real,snVfP,0,2.0,3.0,5
real,b5st,0,15.0,17.0,4
real,b$st,0,7.0,8.0,4
real,p3ljuz,0,0.0,0.0,6
real,tISu,0,0.0,1.0,4
real,snVg,0,6.0,6.0,4
real,$dil,0,0.0,1.0,4
real,snVb,0,4.0,6.0,4
real,hVsk,0,8.0,9.0,4
real,bibQp,0,0.0,0.0,5
real,b{nd,0,6.0,12.0,4
real,k#trI_,0,1.0,1.0,6
real,kr1z,0,10.0,11.0,4
real,sEk@nd,0,0.0,0.0,6
real,m{Ng5,0,2.0,2.0,5
real,kr1t,0,7.0,9.0,4
real,trizH,0,0.0,1.0,5
real,l{mpun,0,0.0,0.0,6
real,hVsP,0,7.0,7.0,4
real,fVNk,0,8.0,10.0,4
real,{mjUlIt,0,0.0,0.0,7
real,m{NgP,0,8.0,9.0,5
real,p#k1,0,0.0,1.0,4
real,hul@,0,0.0,0.0,4
real,kUkrI,0,0.0,0.0,5
real,wID,0,13.0,13.0,3
real,skQns,0,0.0,1.0,5
real,wIN,0,21.0,23.0,3
real,wIJ,0,19.0,23.0,3
real,h#I@R,0,10.0,12.0,5
real,wIT,0,16.0,16.0,3
real,wIS,0,17.0,18.0,3
real,wIg,0,23.0,26.0,3
real,wIf,0,19.0,22.0,3
real,brVS,0,4.0,5.0,4
real,wIm,0,22.0,23.0,3
real,wIl,0,35.0,42.0,3
real,wIk,0,30.0,33.0,3
real,twINkP,0,0.0,2.0,6
real,wIt,0,31.0,38.0,3
real,wIp,0,30.0,33.0,3
real,wIz,0,16.0,18.0,3
real,pElis,0,0.0,0.0,5
real,finIks,0,0.0,0.0,6
real,J{nP,0,3.0,3.0,4
real,nEks@s,0,0.0,0.0,6
real,v3tEks,0,1.0,1.0,6
real,k{mp1n,0,2.0,2.0,6
real,pUlIt,0,3.0,4.0,5
real,fjU@l,0,0.0,0.0,5
real,spIndP,0,1.0,1.0,6
real,m#h@r#_@,0,0.0,0.0,8
real,strIkt,0,0.0,0.0,6
real,sfINkt@R,0,0.0,0.0,8
real,dIs#Id,0,0.0,0.0,6
real,spVd,0,4.0,4.0,4
real,fif,0,9.0,10.0,3
real,fid,0,16.0,19.0,3
real,p@sIm@n,0,0.0,0.0,7
real,mIn5,0,5.0,5.0,4
real,fil,0,23.0,26.0,3
real,mInI,0,7.0,9.0,4
