lexicon,word,homophones,mps,neighbors,length
real,#I,0,6.0,27.0,2
real,#I5t@,0,0.0,0.0,5
real,#I@,0,4.0,9.0,3
real,#I@R,0,20.0,34.0,4
real,#I@n,0,1.0,3.0,4
real,#ID@R,0,3.0,5.0,5
real,#IbEks,0,1.0,1.0,6
real,#IbIs,0,0.0,0.0,5
real,#IdI@,0,0.0,0.0,5
real,#IdP,0,6.0,7.0,4
real,#Idz,0,1.0,1.0,4
real,#IkQn,0,0.0,0.0,5
real,#Il,0,19.0,30.0,3
real,#IlEks,0,1.0,1.0,6
real,#Is,0,6.0,12.0,3
real,#IsQsIliz,0,0.0,0.0,9
real,#It@m,0,0.0,0.0,5
real,#IvI,0,1.0,1.0,4
real,#J,0,10.0,13.0,2
real,#R,0,8.0,17.0,2
real,#U@R,0,5.0,8.0,4
real,#Ul,0,6.0,11.0,3
real,#Uns,0,0.0,2.0,4
real,#Ust,0,0.0,2.0,4
real,#Ut,0,6.0,17.0,3
real,#_@nt,0,0.0,1.0,5
real,#ft,0,4.0,10.0,3
real,#ft@R,0,0.0,0.0,5
real,#g5,0,3.0,6.0,3
real,#gQn,0,0.0,0.0,4
real,#gju,0,1.0,1.0,4
real,#k,0,10.0,19.0,2
real,#k1n,0,1.0,2.0,4
real,#kwIb@s,0,0.0,0.0,7
real,#m,0,9.0,17.0,2
real,#m#d@,0,0.0,0.0,5
real,#m@,0,1.0,5.0,3
real,#m@nd,0,0.0,0.0,5
real,#ns@R,0,0.0,0.0,5
real,#nt,0,3.0,5.0,3
real,#rI@,0,0.0,2.0,4
real,#s,0,10.0,15.0,2
real,#s@nP,0,0.0,0.0,5
real,#sH,0,1.0,3.0,3
real,#sk,0,1.0,7.0,3
real,#t,0,12.0,24.0,2
real,#tIJ5k,0,0.0,0.0,6
real,#tIf{kt,0,0.0,0.0,7
real,#tIkP,0,0.0,1.0,5
real,$,0,3.0,19.0,1
real,$J@d,0,0.0,0.0,4
real,$R,0,6.0,24.0,2
