lexicon,word,homophones,mps,neighbors,length
real,vre,0,1.0,4.0,3
real,spAlk@,0,0.0,1.0,6
real,rek@n@,0,2.0,2.0,6
real,fONk@l@,0,0.0,0.0,7
real,xap@,0,7.0,7.0,4
real,slub@r,0,0.0,0.0,6
real,lLst@r@,0,0.0,3.0,7
real,rAN,0,13.0,16.0,3
real,sxed@l,0,0.0,1.0,6
real,vila,0,2.0,3.0,4
real,wem@l@,0,1.0,1.0,6
real,swIN@,0,1.0,1.0,5
real,olEIf,0,0.0,1.0,5
real,sAndal,0,1.0,1.0,6
real,krLd@,0,2.0,2.0,5
real,ret,0,18.0,24.0,3
real,zIt@,0,8.0,9.0,4
real,pEns,0,6.0,7.0,4
real,bLt@,0,10.0,12.0,4
real,nIk@l,0,3.0,3.0,5
real,hed@,0,7.0,7.0,4
real,kOl@m,0,0.0,0.0,5
real,nIk@r,0,2.0,2.0,5
real,Akt@,0,1.0,2.0,4
real,klAmp@,0,0.0,2.0,6
real,OrGAsm@,0,0.0,0.0,7
real,sIk,0,11.0,16.0,3
real,prOmpt,0,0.0,0.0,6
real,sxril,0,2.0,2.0,5
real,krIs,0,8.0,8.0,4
real,r}ntx@,0,0.0,0.0,6
real,vOrs@,0,6.0,6.0,5
real,stMt,0,7.0,7.0,4
real,vet@,0,11.0,14.0,4
real,pijonir,0,0.0,0.0,7
real,blazun,0,0.0,0.0,6
real,kl|t@r,0,0.0,0.0,6
real,wAlhAla,0,0.0,0.0,7
real,pOnSo,0,0.0,0.0,5
real,pud@r@,0,1.0,2.0,6
real,xev@,0,6.0,8.0,4
real,hEsp,0,2.0,3.0,4
real,hat@,0,7.0,9.0,4
real,hErnija,0,0.0,0.0,7
real,kApital,0,0.0,0.0,7
real,der@,0,12.0,13.0,4
real,manir,0,1.0,1.0,5
real,trMw,0,3.0,6.0,4
real,st}t@,0,2.0,4.0,5
real,wuk@r,0,1.0,2.0,5
real,pINgwIn,0,0.0,0.0,7
real,vIN@r@,0,0.0,1.0,6
real,wIk@,0,17.0,21.0,4
real,oli,0,0.0,1.0,3
real,prEs@,0,0.0,0.0,5
real,And@r,0,2.0,3.0,5
real,vAt@,0,6.0,8.0,4
real,drist,0,2.0,2.0,5
real,kavijar,0,0.0,1.0,7
real,spijOn,0,0.0,1.0,6
real,v@rAs@,0,0.0,0.0,6
real,brOnz@,0,0.0,1.0,6
real,AndEIvi,0,0.0,0.0,7
real,smak,0,6.0,8.0,4
real,del@,0,13.0,14.0,4
real,brEIj@,0,1.0,2.0,6
real,rOk,0,23.0,25.0,3
real,kn|s,0,1.0,3.0,4
real,lur@,0,9.0,11.0,4
real,lLs,0,15.0,19.0,3
real,SOk,0,17.0,18.0,3
real,drEnz@,0,1.0,1.0,6
real,drENk@,0,2.0,3.0,6
real,krLp@,0,3.0,3.0,5
real,mEk@r@,0,0.0,0.0,6
real,tak,0,12.0,15.0,3
real,spEIb@l@,0,0.0,0.0,8
real,lLm,0,8.0,11.0,3
real,d}b@,0,2.0,3.0,4
real,bEIt@,0,3.0,7.0,5
real,knExt@,0,0.0,1.0,6
real,brOkoli,0,0.0,0.0,7
real,rOt,0,25.0,30.0,3
real,zwAb@r@,0,0.0,0.0,7
real,vInd@,0,5.0,5.0,5
real,ser@nad@,0,0.0,0.0,8
real,d|r,0,11.0,11.0,3
real,sl}N@l,0,1.0,1.0,6
real,ok@r,0,3.0,7.0,4
real,lox@n@,0,0.0,0.0,6
real,rIf,0,6.0,7.0,3
real,kr|n@,0,3.0,3.0,5
real,vr|xt,0,2.0,2.0,5
real,bOns,0,3.0,7.0,4
real,tip@,0,7.0,7.0,4
real,tEm@,0,4.0,6.0,4
real,wEIt,0,13.0,18.0,4
real,wEIs,0,8.0,11.0,4
real,fiS@,0,1.0,2.0,4
real,tOl@,0,12.0,14.0,4
real,bOnt,0,13.0,16.0,4
real,wEIn,0,13.0,16.0,4
real,wEIl,0,14.0,20.0,4
real,sxit@,0,2.0,3.0,5
real,zEt,0,17.0,19.0,3
real,wImp@r,0,1.0,1.0,6
real,d|k,0,13.0,14.0,3
real,liG@,0,7.0,8.0,4
real,d|n,0,10.0,11.0,3
real,z|x,0,7.0,7.0,3
real,prAt,0,7.0,10.0,4
real,nen,0,12.0,14.0,3
real,hor@,0,11.0,11.0,4
real,spen,0,5.0,7.0,4
real,lINk,0,4.0,8.0,4
real,Af)r@,0,0.0,0.0,5
real,dOnd@r@,0,1.0,2.0,7
real,vud@,0,8.0,8.0,4
real,blum,0,4.0,4.0,4
real,rust@,0,3.0,6.0,5
real,hOmp,0,3.0,4.0,4
real,kur,0,21.0,24.0,3
real,kup,0,17.0,18.0,3
real,blut,0,8.0,8.0,4
real,kum,0,11.0,12.0,3
real,kul,0,17.0,20.0,3
real,kuk,0,15.0,17.0,3
real,stOl@,0,10.0,13.0,5
real,kOfi,0,0.0,0.0,4
real,r}st@,0,3.0,4.0,5
real,pAlm,0,5.0,8.0,4
real,ner,0,17.0,19.0,3
real,sId@r@,0,1.0,1.0,6
real,pOk,0,26.0,26.0,3
real,barOk,0,2.0,3.0,5
real,lep@l,0,2.0,3.0,5
real,sLk@r,0,0.0,0.0,5
real,barOn,0,2.0,3.0,5
real,b}f@l,0,1.0,1.0,5
real,sx|r@,0,6.0,8.0,5
real,mel,0,17.0,18.0,3
real,hAnd@l@,0,1.0,2.0,7
real,laj@,0,11.0,12.0,4
real,tonEIn,0,1.0,1.0,6
real,tAst@,0,6.0,7.0,5
real,h}rk@,0,1.0,1.0,5
real,mew,0,7.0,9.0,3
real,st}lp,0,2.0,4.0,5
real,pate,0,0.0,0.0,4
real,mes,0,16.0,17.0,3
real,fyGa,0,0.0,0.0,4
real,b}f@r,0,1.0,1.0,5
real,drIb@l@,0,0.0,0.0,7
real,dorn,0,3.0,4.0,4
real,rId@r,0,0.0,0.0,5
real,dref,0,4.0,4.0,4
real,nEto,0,2.0,3.0,4
real,reks,0,4.0,5.0,4
real,pMw,0,14.0,15.0,3
real,rEIp@,0,10.0,13.0,5
real,m}tsj@,0,0.0,0.0,6
real,kOndOr,0,0.0,0.0,6
real,hEld@r,0,1.0,1.0,6
real,SIt,0,11.0,11.0,3
real,toj@,0,11.0,11.0,4
real,stilEto,0,0.0,0.0,7
real,jArt,0,4.0,4.0,4
real,sla,0,4.0,9.0,3
real,dri,0,1.0,2.0,3
real,vLx,0,8.0,8.0,3
real,veG@,0,12.0,12.0,4
real,tOrs@,0,5.0,6.0,5
real,wadi,0,1.0,1.0,4
real,Zy,0,3.0,4.0,2
real,kal@,0,11.0,12.0,4
real,vEnt@,0,3.0,5.0,5
real,vArk@,0,1.0,1.0,5
real,vrEIj@,0,2.0,3.0,6
real,pMk,0,11.0,11.0,3
real,plOf@,0,1.0,3.0,5
real,lEN@,0,6.0,7.0,4
real,tu,0,8.0,11.0,2
real,kanel,0,3.0,3.0,5
real,slLk,0,4.0,5.0,4
real,jyb@l,0,0.0,1.0,5
real,xaZ@,0,5.0,5.0,4
real,wer@lt,0,0.0,0.0,6
real,lez@,0,10.0,10.0,4
real,strat,0,3.0,4.0,5
real,p}z@l,0,1.0,2.0,5
real,vikIN,0,0.0,0.0,5
real,vyr@,0,8.0,9.0,4
real,sort,0,7.0,8.0,4
real,prLk,0,5.0,6.0,4
real,kOld@r,0,3.0,3.0,6
real,stral,0,2.0,4.0,5
real,stov@,0,8.0,8.0,5
real,bri,0,2.0,5.0,3
real,prLm,0,3.0,5.0,4
real,total,0,0.0,0.0,5
real,t}n@l,0,0.0,0.0,5
real,trEs,0,4.0,5.0,4
real,polijo,0,1.0,1.0,6
real,lIn@,0,11.0,15.0,4
real,mAp,0,17.0,17.0,3
real,koj@,0,11.0,12.0,4
real,mAt,0,25.0,29.0,3
real,blIkj@,0,0.0,1.0,6
real,plEIt@,0,1.0,4.0,6
real,mAx,0,12.0,13.0,3
real,wErv@l,0,1.0,3.0,6
real,vr}xt,0,3.0,3.0,5
real,snuv@,0,4.0,4.0,5
real,stAm@,0,4.0,6.0,5
real,EIk@,0,11.0,17.0,4
real,murAs,0,0.0,0.0,5
real,brL,0,2.0,6.0,3
real,sOnd@,0,4.0,4.0,5
real,ImItS,0,0.0,0.0,5
real,sxyr,0,7.0,9.0,4
real,mAk,0,20.0,23.0,3
real,mAm,0,15.0,16.0,3
real,mAl,0,21.0,25.0,3
real,mAn,0,17.0,18.0,3
real,hOrtEnsija,0,0.0,0.0,10
real,hu,0,8.0,14.0,2
real,dod@,0,10.0,11.0,4
real,zam@,0,8.0,9.0,4
real,m@,0,9.0,10.0,2
real,hEndikEp,0,0.0,1.0,8
real,krIstAl,0,0.0,0.0,7
real,wart,0,10.0,13.0,4
real,ti,0,9.0,13.0,2
real,str}ktyr,0,0.0,0.0,8
real,kod@,0,13.0,14.0,4
real,lAnd@,0,3.0,3.0,5
real,trEnt,0,3.0,5.0,5
real,bAt@rEI,0,0.0,0.0,7
real,kl}N@l@,0,1.0,2.0,7
real,er@,0,5.0,13.0,3
real,bAn@,0,9.0,10.0,4
real,sxEts@,0,1.0,3.0,6
real,lop,0,13.0,15.0,3
real,dElv@,0,2.0,2.0,5
real,sLz@,0,2.0,2.0,4
real,stEns@l@,0,0.0,1.0,8
real,me,0,16.0,23.0,2
real,bAnt,0,14.0,17.0,4
real,flora,0,0.0,0.0,5
real,ma,0,12.0,21.0,2
real,strAks,0,0.0,1.0,6
real,vlOk,0,7.0,8.0,4
real,wev@,0,11.0,13.0,4
real,vles,0,4.0,4.0,4
real,stLv@r,0,0.0,1.0,6
real,enOrm,0,0.0,1.0,5
real,vj|,0,0.0,0.0,3
real,t}rn@,0,1.0,1.0,5
real,sINg@l,0,0.0,1.0,6
real,mu,0,8.0,11.0,2
real,vEIx,0,3.0,3.0,4
real,primyla,0,0.0,0.0,7
real,wort,0,10.0,11.0,4
real,par@l@,0,0.0,1.0,6
real,p@rson,0,0.0,0.0,6
real,spyx,0,0.0,0.0,4
real,EIG@n@,0,0.0,0.0,6
real,lit@r,0,2.0,2.0,5
real,ASrAm,0,0.0,0.0,5
real,war@,0,14.0,17.0,4
real,rik,0,12.0,13.0,3
real,vOn@s@,0,0.0,1.0,6
real,bun@,0,9.0,9.0,4
real,fjOrt,0,0.0,1.0,5
real,Abe,0,0.0,1.0,3
real,kwEIn@,0,2.0,2.0,6
real,voG@l,0,1.0,1.0,5
real,Ll,0,5.0,13.0,2
real,vos,0,11.0,11.0,3
real,stEm,0,8.0,9.0,4
real,mAxt,0,9.0,12.0,4
real,klEI,0,5.0,8.0,4
real,limusin@,0,0.0,0.0,8
real,Lt,0,7.0,17.0,2
real,wAnd@l@,0,1.0,2.0,7
real,tAjga,0,0.0,0.0,5
real,bAG@r@,0,0.0,1.0,6
real,lijan,0,0.0,1.0,5
real,dAp@r,0,0.0,0.0,5
real,sxOf@l@,0,2.0,3.0,7
real,dr}k@,0,2.0,4.0,5
real,mAkrel,0,0.0,0.0,6
real,op@ra,0,0.0,0.0,5
real,nOn,0,12.0,12.0,3
real,rAbEIn,0,1.0,1.0,6
real,strop,0,6.0,9.0,5
real,mOmp@l@,0,0.0,0.0,7
real,sed@r,0,5.0,6.0,5
real,hon,0,16.0,18.0,3
real,stOk@,0,11.0,12.0,5
real,hol,0,16.0,16.0,3
real,hom,0,13.0,14.0,3
real,hoj,0,14.0,15.0,3
real,nIrvana,0,1.0,1.0,7
real,rak@l@,0,4.0,5.0,6
real,ent,0,2.0,4.0,3
real,akela,0,0.0,0.0,5
real,xirAf@,0,0.0,0.0,6
real,wIp,0,11.0,12.0,3
real,l}st,0,10.0,12.0,4
real,xunta,0,0.0,0.0,5
real,|v@l,0,0.0,1.0,4
real,nOp,0,17.0,20.0,3
real,hox,0,12.0,13.0,3
real,knOk@l,0,2.0,3.0,6
real,lan,0,11.0,14.0,3
real,fl|r,0,3.0,4.0,4
real,xluj@,0,4.0,5.0,5
real,kwal,0,3.0,5.0,4
real,fEn,0,14.0,16.0,3
real,fEl,0,10.0,12.0,3
real,drOp,0,6.0,8.0,4
real,avOntyr,0,0.0,0.0,7
real,sxon,0,6.0,6.0,4
real,hast@,0,2.0,4.0,5
real,xOrd@l,0,1.0,1.0,6
real,lax,0,11.0,16.0,3
real,mAtros,0,1.0,1.0,6
real,drOm,0,6.0,8.0,4
real,drOl,0,4.0,6.0,4
real,lat,0,17.0,20.0,3
real,p}l,0,20.0,23.0,3
real,knIsp@r@,0,0.0,1.0,8
real,mAjs,0,3.0,3.0,4
real,sxEts,0,2.0,4.0,5
real,rImbu,0,0.0,0.0,5
real,Alf,0,3.0,8.0,3
real,sInts,0,1.0,2.0,5
real,hup@l@,0,1.0,2.0,6
real,plyS,0,0.0,0.0,4
real,mOs,0,17.0,19.0,3
real,ov@,0,4.0,11.0,3
real,sxAt@,0,5.0,6.0,5
real,stro,0,0.0,3.0,4
real,bAG@r,0,0.0,1.0,5
real,krEIG@,0,3.0,4.0,6
real,xr}t,0,8.0,10.0,4
real,tirAn,0,0.0,0.0,5
real,Alt,0,7.0,10.0,3
real,Als,0,3.0,9.0,3
real,amis,0,0.0,0.0,4
real,niz@,0,5.0,6.0,4
real,mArt@r,0,1.0,1.0,6
real,vart,0,8.0,11.0,4
real,kam@r,0,4.0,5.0,5
real,mOp,0,18.0,19.0,3
real,zef,0,6.0,7.0,3
real,forEns,0,0.0,0.0,6
real,wib@l@,0,0.0,0.0,6
real,olejAnd@r,0,0.0,0.0,9
real,pApa,0,1.0,2.0,4
real,rub@l,0,2.0,3.0,5
real,strLk,0,5.0,5.0,5
real,zen,0,16.0,18.0,3
real,spok@,0,3.0,5.0,5
real,mEns,0,4.0,6.0,4
real,zer,0,17.0,21.0,3
real,stek@,0,8.0,10.0,5
real,hers@,0,0.0,0.0,5
real,vrol@k,0,0.0,0.0,6
real,knOl,0,6.0,8.0,4
real,stEm@,0,5.0,8.0,5
real,zwAxt@l,0,0.0,0.0,7
real,fir,0,14.0,14.0,3
real,kolonEl,0,0.0,0.0,7
real,stOrm,0,0.0,2.0,5
real,h}m@l,0,3.0,3.0,5
real,spEIt,0,6.0,8.0,5
real,bOrn,0,3.0,4.0,4
real,sxErts,0,0.0,2.0,6
real,ust@r,0,1.0,1.0,5
real,knOp,0,10.0,12.0,4
real,lMw,0,13.0,16.0,3
real,tEntam@,0,0.0,0.0,7
real,tEl@,0,12.0,14.0,4
real,h}ft@r,0,0.0,0.0,6
real,rLx,0,11.0,12.0,3
real,xrIf,0,6.0,9.0,4
real,buljOn,0,0.0,0.0,6
real,rLt,0,21.0,27.0,3
real,nev@l,0,3.0,4.0,5
real,mANk,0,4.0,6.0,4
real,mEn@,0,12.0,13.0,4
real,xrIl,0,7.0,10.0,4
real,lIxt@,0,4.0,5.0,5
real,pLk,0,14.0,16.0,3
real,Atlet,0,0.0,0.0,5
real,sprANk@l@,0,1.0,1.0,9
real,sprOk@l@,0,0.0,0.0,8
real,mIn@,0,11.0,13.0,4
real,kapOt,0,1.0,1.0,5
real,vl|xj@,0,0.0,0.0,6
real,ONG@ver,0,0.0,0.0,7
real,wen@,0,14.0,14.0,4
real,bixt,0,1.0,3.0,4
real,kOmkOm@r,0,0.0,0.0,8
real,lep@l@,0,0.0,1.0,6
real,xrEIs,0,3.0,5.0,5
real,xuwAS@,0,0.0,0.0,6
real,kwat,0,1.0,2.0,4
real,wErk,0,9.0,10.0,4
real,palEt,0,0.0,0.0,5
real,tErp@tEIn,0,0.0,0.0,9
real,folijo,0,1.0,1.0,6
real,mok@r,0,4.0,5.0,5
real,kIr@,0,7.0,7.0,4
real,molj)r@,0,0.0,0.0,7
real,z}lk,0,3.0,3.0,4
real,Orkan,0,1.0,1.0,5
real,ket@n@,0,0.0,0.0,6
real,xAp@,0,6.0,7.0,4
real,mEp@,0,5.0,6.0,4
real,stadij}m,0,0.0,0.0,8
real,rOm@l@,0,5.0,7.0,6
real,snew,0,1.0,3.0,4
real,modErn,0,0.0,0.0,6
real,hest@r,0,1.0,1.0,6
real,mOf,0,14.0,15.0,3
real,var@,0,12.0,14.0,4
real,rEIm@,0,9.0,11.0,5
real,xrEIn,0,3.0,7.0,5
real,ban@,0,13.0,14.0,4
real,nOrs,0,4.0,5.0,4
real,dMw@,0,8.0,9.0,4
real,pErs@,0,1.0,2.0,5
real,spar@,0,8.0,9.0,5
real,pelyw,0,0.0,0.0,5
real,plLm,0,3.0,4.0,4
real,dErv@,0,5.0,6.0,5
real,blIk@r@,0,1.0,1.0,7
real,bluj@,0,5.0,8.0,5
real,zax,0,11.0,11.0,3
real,pijama,0,0.0,0.0,6
real,bOl@,0,12.0,13.0,4
real,nud@ls,0,0.0,0.0,6
real,pEto,0,2.0,3.0,4
real,mArs,0,8.0,8.0,4
real,wOrm,0,6.0,6.0,4
real,pEnsel@,0,0.0,1.0,7
real,wOrp,0,3.0,3.0,4
real,l}nS@,0,1.0,2.0,5
real,zwul,0,0.0,1.0,4
real,s@mEnt,0,0.0,0.0,6
real,wOrt,0,12.0,13.0,4
real,dANk@,0,4.0,5.0,5
real,bInt,0,12.0,14.0,4
real,aj@,0,3.0,11.0,3
real,platina,0,0.0,0.0,7
real,slep,0,8.0,11.0,4
real,xInd@r,0,1.0,1.0,6
real,slet,0,8.0,11.0,4
real,b@sxLt,0,0.0,0.0,6
real,sxats,0,3.0,4.0,5
real,gol,0,4.0,4.0,3
real,baritOn,0,0.0,0.0,7
real,zev@,0,8.0,10.0,4
real,reG@n@,0,3.0,3.0,6
real,m}rw,0,0.0,0.0,4
real,r|,0,7.0,9.0,2
real,wEI,0,17.0,24.0,3
real,trIl@,0,4.0,6.0,5
real,avAns@,0,0.0,0.0,6
real,sxAmp@r,0,0.0,2.0,7
