word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
de	597589	-2.59	52	64	1278	486	486	486	486	2670	95	95	95	95	2
la	351219	-2.76	58	73	720	162	162	162	162	3115	276	276	276	276	2
e	187164	-4.3	0	30	1196	1196	1196	1196	1196	2670	2670	2670	2670	2670	1
lo	164799	-3.57	44	57	720	128	128	128	128	228	23	23	23	23	2
en	150595	-3.19	34	49	1196	226	226	226	226	1856	136	136	136	136	2
d	143023	-4.3	0	15	1278	1278	1278	1278	1278	246	246	246	246	246	1
l	142344	-4.3	0	13	720	720	720	720	720	506	506	506	506	506	1
a	134622	-4.3	0	36	1966	1966	1966	1966	1966	3115	3115	3115	3115	3115	1
es	103627	-2.03	44	61	1196	396	396	396	396	4749	1104	1104	1104	1104	2
un	84548	-3.65	28	37	163	51	51	51	51	1856	24	24	24	24	2
una	79748	-3.94	14	19	163	51	3	3	3	3115	267	15	15	15	3
que	71424	-3.05	16	20	126	123	17	17	17	2670	151	98	98	98	3
del	69472	-3.92	30	36	1278	486	20	20	20	506	87	1	1	1	3
per	62594	-3.13	34	43	1858	232	122	122	122	1146	270	8	8	8	3
dins	59643	-4.32	24	26	1278	293	22	1	1	4749	472	58	5	5	4
las	51537	-3.18	48	57	720	162	3	3	3	4749	1040	120	120	120	3
le	47786	-2.79	52	65	720	107	107	107	107	2670	334	334	334	334	2
se	44234	-2.6	54	68	1249	291	291	291	291	2670	158	158	158	158	2
los	40296	-4.34	50	63	720	128	2	2	2	4749	54	7	7	7	3
et	39742	-3.54	28	43	1196	24	24	24	24	2452	122	122	122	122	2
comuna	38782	-5.17	2	4	2336	932	252	17	17	3115	267	15	1	1	6
region	38351	-5.18	4	5	1153	629	42	17	8	1856	1020	537	6	2	6
à	38245	-4.35	0	3	5	5	5	5	5	32	32	32	32	32	1
departament	35981	-8.69	0	0	1278	486	21	6	3	2452	870	570	366	193	11
al	33983	-2.84	36	55	1966	187	187	187	187	506	214	214	214	214	2
son	33567	-2.9	48	55	1249	189	19	19	19	1856	1020	86	86	86	3
est	31713	-3.89	8	19	1196	396	154	154	154	2452	52	13	13	13	3
situada	30819	-6.76	2	4	1249	165	24	20	14	3115	453	283	1	1	7
du	30186	-4.21	42	56	1278	51	51	51	51	408	5	5	5	5	2
qu	29822	-4.05	26	34	126	123	123	123	123	408	8	8	8	8	2
au	28621	-2.73	54	73	1966	215	215	215	215	408	161	161	161	161	2
dels	24773	-4.76	18	21	1278	486	20	1	1	4749	136	12	1	1	4
les	24766	-3.3	44	53	720	107	7	7	7	4749	1104	172	172	172	3
s	23376	-4.3	0	22	1249	1249	1249	1249	1249	4749	4749	4749	4749	4749	1
mai	22195	-4.09	42	53	1390	500	35	35	35	480	39	7	7	7	3
francesa	20693	-8.13	0	0	830	123	51	39	27	3115	182	42	1	1	8
des	19748	-2.53	42	52	1278	486	177	177	177	4749	1104	39	39	39	3
o	19552	-4.3	0	25	462	462	462	462	462	228	228	228	228	228	1
amb	18310	-4.81	10	16	1966	96	14	14	14	21	7	2	2	2	3
francés	17939	-7.76	4	5	830	123	51	39	27	4749	130	4	1	1	7
sus	17046	-3.77	40	51	1249	168	6	6	6	4749	196	9	9	9	3
foguèt	17046	-5.51	10	10	830	207	7	6	4	2452	268	92	78	4	6
sur	16610	-3.83	34	38	1249	168	20	20	20	1146	87	1	1	1	3
pas	16425	-3.04	46	55	1858	373	43	43	43	4749	1040	10	10	10	3
saint	16302	-5.35	2	7	1249	236	13	6	5	2452	870	18	2	2	5
entre	15781	-4.78	6	13	1196	226	68	32	14	2670	502	82	12	5	5
coma	15673	-3.93	22	24	2336	932	252	12	12	3115	83	8	1	1	4
sud	15416	-4.85	16	17	1249	168	1	1	1	246	25	1	1	1	3
an	15336	-2.76	42	69	1966	211	211	211	211	1856	342	342	342	342	2
une	15336	-4.03	10	16	163	51	5	5	5	2670	252	13	13	13	3
i	15254	-4.3	0	30	592	592	592	592	592	480	480	480	480	480	1
dau	14891	-4.87	42	46	1278	101	11	11	11	408	161	4	4	4	3
par	14490	-2.84	38	50	1858	373	162	162	162	1146	401	9	9	9	3
lei	14076	-4.86	42	47	720	107	4	4	4	480	36	4	4	4	3
geografia	13529	-9.18	0	0	606	101	22	8	8	3115	424	16	13	13	9
qui	13503	-4.47	22	25	126	123	38	38	38	480	8	1	1	1	3
commune	13111	-5.52	0	2	2336	932	252	37	14	2670	252	13	1	1	7
km	13040	-4.43	22	26	41	2	2	2	2	149	1	1	1	1	2
sant	12841	-3.85	30	37	1249	236	31	14	14	2452	870	216	20	20	4
nom	12376	-4.38	22	26	471	144	38	38	38	149	17	4	4	4	3
dans	11905	-4.95	30	35	1278	101	14	2	2	4749	472	97	2	2	4
sa	11639	-2.6	60	77	1249	236	236	236	236	3115	182	182	182	182	2
municipalitat	11228	-11.27	0	0	1390	69	16	15	14	2452	572	186	108	31	13
èra	11065	-4.93	24	31	30	10	2	2	2	3115	323	55	55	55	3
tanben	10911	-8.72	2	3	923	93	17	1	1	1856	136	6	2	2	6
nòrd	10906	-5.23	4	4	471	20	3	1	1	246	84	7	1	1	4
província	9654	-7.19	0	0	1858	568	232	43	2	3115	424	104	68	1	9
ei	9500	-4.13	52	64	1196	11	11	11	11	480	36	36	36	36	2
n	9457	-4.3	0	17	471	471	471	471	471	1856	1856	1856	1856	1856	1
aquela	9042	-5.73	6	9	1966	40	38	28	8	3115	276	11	3	2	6
vila	9012	-4.31	20	27	798	272	49	12	12	3115	276	17	3	3	4
village	8627	-6.69	4	6	798	272	49	35	16	2670	162	44	4	2	7
istòria	8547	-7.81	0	1	592	56	11	2	2	3115	424	78	9	5	7
ua	8520	-5.01	56	65	163	2	2	2	2	3115	19	19	19	19	2
cap	8406	-4.67	28	33	2336	527	50	50	50	52	6	1	1	1	3
èsser	8211	-6.57	2	3	30	7	3	3	2	1146	270	22	12	1	5
aquel	8054	-5.0	2	6	1966	40	38	28	8	506	87	12	6	1	5
deu	7889	-4.36	38	45	1278	486	9	9	9	408	51	1	1	1	3
fòrça	7703	-5.2	6	9	830	21	11	2	2	3115	58	2	1	1	5
situat	7662	-6.3	6	10	1249	165	24	20	14	2452	572	4	3	1	6
comunautat	7563	-8.61	0	0	2336	932	252	17	17	2452	572	186	9	3	10
dei	7421	-4.44	32	37	1278	486	5	5	5	480	36	2	2	2	3
municipi	7381	-8.88	0	0	1390	69	16	15	14	480	6	2	2	1	8
sègle	7136	-6.49	2	4	1249	24	2	2	2	2670	334	9	2	1	5
mas	6981	-2.88	54	61	1390	500	29	29	29	4749	1040	41	41	41	3
autonòma	6950	-9.4	0	1	1966	215	78	41	9	3115	83	6	2	1	8
pel	6750	-3.81	26	29	1858	232	11	11	11	506	87	4	4	4	3
après	6698	-5.97	8	10	1966	135	26	2	1	4749	40	10	3	1	5
ans	6625	-3.39	24	38	1966	211	3	3	3	4749	472	97	97	97	3
espanhòla	6485	-8.91	0	0	1196	396	115	35	19	3115	276	14	2	2	9
vilatge	6445	-6.57	0	3	798	272	49	12	3	2670	162	56	50	3	7
oèst	6422	-7.02	4	6	462	1	1	1	1	2452	52	11	1	1	4
fin	6110	-3.9	32	38	830	113	29	29	29	1856	212	5	5	5	3
centre	6091	-5.72	16	18	2336	136	37	30	15	2670	502	82	12	5	6
frança	6075	-5.67	4	4	830	123	51	39	6	3115	58	41	18	5	6
siá	6051	-3.72	16	19	1249	165	3	3	3	77	70	17	17	17	3
il	5952	-3.99	34	45	592	21	21	21	21	506	62	62	62	62	2
__notoc__	5952	-10.97	0	0	4	3	1	1	1	5	3	2	2	2	9
país	5922	-5.06	10	13	1858	373	1	1	1	4749	78	1	1	1	4
aquesta	5825	-5.87	4	7	1966	40	38	28	8	3115	307	81	9	5	7
sieu	5807	-5.44	6	11	1249	165	8	5	5	408	51	27	2	2	4
ne	5769	-2.93	52	60	471	72	72	72	72	2670	252	252	252	252	2
fins	5675	-4.41	14	18	830	113	29	1	1	4749	472	58	2	2	4
ont	5549	-4.3	10	19	462	20	3	3	3	2452	870	58	58	58	3
guèrra	5513	-6.55	4	5	606	65	3	3	2	3115	323	26	9	3	6
m	5489	-4.3	0	17	1390	1390	1390	1390	1390	149	149	149	149	149	1
estat	5428	-4.27	6	10	1196	396	154	59	16	2452	572	186	8	5	5
dos	5302	-4.57	44	49	1278	162	1	1	1	4749	54	5	5	5	3
nord	5301	-4.94	8	8	471	144	23	1	1	246	84	12	1	1	4
luòc	5301	-5.02	4	7	720	74	3	3	3	340	18	4	3	3	4
çò	5256	-4.53	10	12	7	1	1	1	1	11	3	3	3	3	2
pour	5213	-4.77	10	12	1858	274	13	6	6	1146	87	14	1	1	4
plus	5205	-4.71	2	4	1858	115	16	3	3	4749	196	6	1	1	4
pòt	5127	-4.84	18	23	1858	33	2	2	2	2452	16	1	1	1	3
vallée	5115	-6.33	0	2	798	159	64	19	2	2670	154	11	3	2	6
comunas	5055	-5.69	0	2	2336	932	252	17	17	4749	1040	97	9	1	7
dempuèi	5032	-8.37	4	4	1278	486	57	4	3	480	11	5	4	1	7
territòri	5002	-10.21	0	0	923	188	60	35	12	480	104	12	8	1	9
part	4818	-3.84	18	26	1858	373	162	61	61	2452	116	15	5	5	4
pus	4736	-4.26	28	35	1858	66	2	2	2	4749	196	4	4	4	3
elle	4711	-3.94	4	11	1196	61	6	2	2	2670	334	118	43	43	4
partida	4656	-6.41	0	1	1858	373	162	61	43	3115	453	70	6	3	7
leis	4647	-5.21	16	21	720	107	4	1	1	4749	309	23	2	2	4
als	4626	-3.38	24	38	1966	187	5	5	5	4749	136	64	64	64	3
située	4531	-6.61	2	5	1249	165	24	20	4	2670	154	4	2	2	6
dens	4528	-3.96	32	39	1278	486	16	5	5	4749	472	40	1	1	4
abitants	4520	-7.26	0	2	1966	97	15	13	10	4749	521	156	43	12	8
èst	4472	-5.2	4	7	30	7	3	3	3	2452	52	11	11	11	3
pendent	4282	-6.25	8	9	1858	232	32	5	3	2452	870	570	28	13	7
grand	4251	-5.23	10	16	606	144	76	33	14	246	66	29	6	1	5
sul	4243	-4.27	30	34	1249	168	8	8	8	506	21	2	2	2	3
sont	4149	-3.76	28	32	1249	189	19	1	1	2452	870	58	1	1	4
léger	4123	-7.09	2	2	720	16	6	2	1	1146	270	15	2	1	5
ouest	4107	-7.38	0	2	462	24	2	1	1	2452	52	13	3	1	5
nauta	4065	-5.82	6	10	471	134	10	6	2	3115	307	15	4	1	5
glèisa	4042	-8.29	0	1	606	25	2	2	2	3115	182	10	1	1	6
occitana	3994	-8.34	0	1	462	60	28	18	10	3115	267	77	6	3	8
fa	3982	-3.46	56	66	830	138	138	138	138	3115	10	10	10	10	2
calendièr	3954	-9.32	0	0	2336	527	47	3	2	1146	86	51	3	1	9
avec	3950	-6.48	10	11	1966	85	23	1	1	340	23	1	1	1	4
decèsses	3901	-8.04	0	0	1278	486	41	3	2	4749	1104	104	28	6	8
situé	3895	-6.14	4	6	1249	165	24	20	4	324	14	3	2	1	5
pels	3845	-4.64	14	17	1858	232	11	1	1	4749	136	12	1	1	4
on	3829	-3.43	32	49	462	20	20	20	20	1856	1020	1020	1020	1020	2
mar	3799	-2.96	42	60	1390	500	166	166	166	1146	401	19	19	19	3
tres	3798	-3.53	12	15	923	285	21	6	6	4749	1104	198	35	35	4
pagina	3766	-6.96	0	1	1858	373	12	2	2	3115	267	66	3	1	6
pirenèus	3765	-8.96	0	0	1858	108	9	3	3	4749	196	18	5	1	8
occitània	3763	-9.43	0	0	462	60	28	18	10	3115	424	42	11	5	9
gregorian	3751	-9.93	0	0	606	144	14	2	1	1856	342	62	10	3	9
aups	3723	-5.86	4	6	1966	215	3	1	1	4749	27	3	1	1	4
doas	3706	-4.94	12	15	1278	162	2	1	1	4749	1040	4	2	2	4
concernís	3698	-8.65	0	0	2336	932	412	41	25	4749	78	5	1	1	9
primièr	3675	-6.92	2	4	1858	568	85	27	14	1146	86	51	2	1	7
aux	3672	-3.25	14	21	1966	215	5	5	5	181	128	52	52	52	3
partie	3633	-5.71	4	6	1858	373	162	61	43	2670	133	6	2	1	6
ce	3614	-2.89	56	63	2336	136	136	136	136	2670	95	95	95	95	2
bourg	3580	-5.19	0	2	922	167	43	22	13	97	37	19	16	16	5
temps	3579	-5.64	2	2	923	188	24	22	3	4749	27	11	6	5	5
partir	3566	-5.9	6	8	1858	373	162	61	43	1146	146	14	4	2	6
mètres	3540	-6.7	4	6	1390	17	6	3	2	4749	1104	198	35	5	6
territoire	3532	-10.31	0	0	923	188	60	35	12	2670	502	124	18	9	10
castelha	3527	-7.68	0	0	2336	527	68	41	18	3115	111	35	8	2	8
unitat	3517	-5.98	0	1	163	51	38	8	3	2452	572	186	108	7	6
vesinas	3515	-7.38	0	2	798	219	25	5	4	4749	1040	97	23	4	7
aviá	3503	-5.2	6	7	1966	85	18	2	2	77	70	4	1	1	4
autres	3492	-5.73	12	15	1966	215	78	15	10	4749	1104	198	35	3	6
ville	3491	-3.8	16	19	798	272	49	35	14	2670	334	118	64	44	5
tròba	3424	-6.66	6	7	923	285	10	3	2	3115	33	3	3	2	5
tot	3415	-4.37	24	30	923	152	18	18	18	2452	27	9	9	9	3
durant	3402	-5.87	2	2	1278	51	19	10	3	2452	870	216	21	7	6
estats	3378	-4.73	0	1	1196	396	154	59	16	4749	521	199	56	3	6
c	3359	-4.3	0	20	2336	2336	2336	2336	2336	340	340	340	340	340	1
populacion	3352	-8.55	0	0	1858	274	12	11	11	1856	1020	537	325	208	10
cette	3350	-6.59	4	4	2336	136	2	1	1	2670	247	29	16	1	5
foguèron	3328	-7.56	0	0	830	207	7	6	4	1856	1020	135	96	35	8
era	3327	-4.29	34	45	1196	55	5	5	5	3115	323	37	37	37	3
abbaye	3320	-7.45	0	1	1966	97	9	5	2	2670	13	9	2	1	6
pòble	3310	-5.34	8	9	1858	33	3	3	2	2670	334	60	4	1	5
y	3299	-4.31	0	8	26	26	26	26	26	365	365	365	365	365	1
jean	3248	-6.16	4	6	268	21	2	2	2	1856	342	3	1	1	4
segon	3225	-5.06	4	6	1249	291	43	12	11	1856	1020	10	2	1	5
quand	3223	-5.93	2	3	126	123	52	7	1	246	66	29	1	1	5
li	3220	-3.46	48	64	720	189	189	189	189	480	34	34	34	34	2
été	3218	-4.09	0	1	156	40	2	2	2	324	75	5	5	5	3
près	3213	-4.29	12	16	1858	568	15	5	5	4749	40	10	3	3	4
deux	3213	-4.4	12	15	1278	486	9	2	2	181	128	53	1	1	4
plan	3211	-4.29	8	15	1858	115	68	27	27	1856	342	21	1	1	4
eth	3170	-5.22	6	12	1196	24	2	2	2	176	29	7	7	7	3
comtat	3156	-5.31	8	10	2336	932	252	9	3	2452	572	186	2	2	6
sens	3124	-4.07	28	35	1249	291	47	13	13	4749	472	40	1	1	4
qualques	3110	-7.64	0	1	126	123	52	13	3	4749	1104	68	46	3	8
junh	3108	-5.99	4	4	268	79	3	1	1	176	20	2	1	1	4
familha	3100	-7.17	0	1	830	138	16	9	7	3115	111	35	10	3	7
canton	3071	-6.12	6	9	2336	527	57	18	3	1856	1020	37	7	2	6
pasmens	3059	-7.45	0	0	1858	373	43	1	1	4749	472	40	6	1	7
empèri	3051	-8.04	0	1	1196	74	36	2	2	480	104	10	1	1	6
fut	3048	-4.43	20	23	830	36	5	5	5	2452	111	1	1	1	3
costat	3041	-5.39	4	6	2336	932	22	11	4	2452	572	186	8	1	6
èran	3028	-5.81	14	15	30	10	2	1	1	1856	342	32	2	2	4
sous	3028	-5.01	24	26	1249	189	19	1	1	4749	196	6	2	2	4
ròse	2975	-6.29	4	4	1153	15	3	1	1	2670	158	2	1	1	4
païses	2966	-6.26	4	4	1858	373	6	6	1	4749	1104	104	3	2	6
granda	2959	-5.22	6	10	606	144	76	33	14	3115	453	35	19	3	6
el	2954	-3.36	28	38	1196	61	61	61	61	506	87	87	87	87	2
castèl	2950	-6.51	6	8	2336	527	68	41	8	506	39	7	3	3	6
abans	2941	-5.3	6	7	1966	97	22	15	1	4749	472	97	4	1	5
lenga	2940	-6.78	10	12	720	107	17	10	7	3115	45	7	2	1	5
situa	2924	-5.9	4	8	1249	165	24	20	14	3115	19	6	1	1	5
encara	2918	-6.87	4	4	1196	226	31	9	3	3115	323	41	2	1	6
pauc	2908	-5.21	6	9	1858	373	23	4	4	340	15	3	2	2	4
br	2893	-4.4	36	41	922	125	125	125	125	1146	2	2	2	2	2
santa	2865	-5.02	16	19	1249	236	31	14	3	3115	307	65	21	4	5
leon	2862	-5.49	10	15	720	107	8	5	5	1856	1020	3	2	2	4
administrada	2831	-10.17	0	0	1966	82	19	18	15	3115	453	283	45	8	12
château	2825	-6.26	2	3	2336	254	25	24	21	408	161	35	8	2	7
deis	2814	-4.79	16	20	1278	486	5	4	4	4749	309	23	1	1	4
jos	2814	-4.23	26	30	268	94	13	13	13	4749	54	1	1	1	3
deus	2784	-5.01	18	22	1278	486	9	1	1	4749	196	8	1	1	4
tolosa	2782	-6.76	0	1	923	152	10	7	6	3115	182	22	2	1	6
dab	2765	-6.61	18	22	1278	101	2	2	2	21	4	1	1	1	3
rei	2760	-3.97	40	45	1153	629	20	20	20	480	36	6	6	6	3
non	2757	-3.4	36	38	471	144	1	1	1	1856	1020	32	32	32	3
epòca	2722	-7.48	4	5	1196	16	2	2	2	3115	231	7	1	1	5
autre	2715	-5.36	8	13	1966	215	78	15	10	2670	502	82	4	2	5
parís	2691	-5.4	8	11	1858	373	162	1	1	4749	78	14	1	1	5
aquò	2688	-5.9	2	3	1966	40	38	1	1	11	2	2	1	1	4
fait	2681	-4.81	8	13	830	138	15	4	4	2452	216	58	1	1	4
lieu	2648	-4.96	8	11	720	189	10	7	7	408	51	27	7	7	4
communes	2637	-6.12	0	1	2336	932	252	37	14	4749	1104	94	7	1	8
lor	2634	-4.15	26	32	720	128	13	13	13	1146	129	7	7	7	3
sent	2630	-3.29	24	29	1249	291	47	9	9	2452	870	570	20	20	4
normandia	2614	-8.33	0	0	471	144	23	15	15	3115	424	25	7	1	9
était	2603	-6.06	4	5	156	40	20	3	1	2452	216	58	9	1	5
origina	2577	-7.83	2	5	462	128	36	17	16	3115	267	66	3	1	7
ii	2564	-4.22	58	63	592	3	3	3	3	480	10	10	10	10	2
mòrt	2564	-4.79	14	18	1390	18	5	5	5	2452	116	20	1	1	4
pierre	2563	-6.24	0	1	1858	108	16	6	5	2670	502	26	14	4	6
aguèt	2560	-4.37	2	5	1966	65	17	4	1	2452	268	92	78	4	5
quilomètres	2539	-11.38	0	0	126	123	38	3	2	4749	1104	198	35	5	11
pont	2539	-3.99	28	33	1858	274	22	11	11	2452	870	58	4	4	4
aiga	2530	-5.77	6	11	1966	64	13	6	6	3115	45	12	2	2	4
ou	2507	-4.35	44	52	462	24	24	24	24	408	20	20	20	20	2
bòsc	2503	-6.14	4	5	922	12	4	2	2	340	12	3	2	2	4
musica	2499	-6.41	0	4	1390	69	24	11	10	3115	231	150	7	1	6
còsta	2498	-5.54	4	6	2336	34	5	4	2	3115	307	81	2	1	5
bassa	2491	-4.89	10	14	922	270	55	9	3	3115	182	47	12	2	5
riu	2489	-4.54	20	25	1153	82	2	2	2	408	56	10	10	10	3
periòde	2486	-7.66	2	3	1858	232	122	15	2	2670	95	5	2	1	7
occitan	2467	-7.4	0	3	462	60	28	18	10	1856	342	36	8	1	7
dont	2432	-3.92	22	27	1278	162	38	1	1	2452	870	58	1	1	4
lorena	2421	-7.53	2	2	720	128	13	2	2	3115	267	34	6	2	6
president	2414	-7.43	0	0	1858	568	146	50	9	2452	870	570	28	8	9
miègjorn	2412	-9.53	0	0	1390	158	5	3	1	1856	34	14	6	2	8
marna	2407	-5.07	14	16	1390	500	166	4	2	3115	267	10	1	1	5
començament	2402	-7.39	0	0	2336	932	252	29	16	2452	870	570	366	193	11
forma	2391	-4.84	14	18	830	207	90	37	20	3115	83	17	6	5	5
val	2391	-3.66	36	42	798	159	64	64	64	506	214	19	19	19	3
illa	2386	-4.9	8	12	592	21	14	2	2	3115	276	15	6	6	4
habitants	2385	-8.95	0	0	253	80	11	8	8	4749	521	156	43	12	9
aquitània	2372	-8.34	0	0	1966	40	38	8	3	3115	424	42	11	5	9
aprèp	2366	-6.83	2	3	1966	135	26	2	1	52	4	2	2	1	5
romaine	2348	-7.52	6	9	1153	164	37	29	4	2670	252	82	38	4	7
situe	2345	-5.94	6	8	1249	165	24	20	2	2670	151	4	2	1	5
aperaquí	2341	-9.73	0	0	1966	135	22	15	6	16	5	4	3	1	8
lengadòc	2334	-10.95	0	0	720	107	17	10	7	340	18	2	1	1	8
nombre	2325	-5.6	0	1	471	144	38	8	8	2670	502	34	12	2	6
mont	2325	-3.42	24	32	1390	323	156	101	101	2452	870	58	42	42	4
peu	2322	-4.52	30	35	1858	232	10	10	10	408	51	1	1	1	3
altitud	2306	-8.48	2	4	1966	187	19	4	4	246	25	9	9	5	7
bas	2292	-2.88	46	54	922	270	55	55	55	4749	1040	11	11	11	3
venguèt	2287	-5.6	2	4	798	219	71	7	6	2452	268	92	78	10	7
tèrra	2275	-6.29	4	5	923	22	8	4	4	3115	323	26	9	4	5
communal	2274	-6.6	0	0	2336	932	252	37	14	506	214	35	3	2	8
important	2250	-8.36	0	0	592	72	46	16	11	2452	870	216	35	5	9
église	2248	-8.84	2	3	156	5	2	2	2	2670	158	50	3	2	6
ho	2238	-3.99	38	42	253	48	48	48	48	228	6	6	6	6	2
capitala	2211	-7.48	0	1	2336	527	50	21	21	3115	276	131	18	3	8
martin	2209	-5.74	4	7	1390	500	166	16	8	1856	212	28	4	3	6
quatre	2195	-6.88	2	4	126	123	52	8	5	2670	502	82	5	1	6
ara	2194	-3.64	34	51	1966	272	18	18	18	3115	323	41	41	41	3
rota	2186	-4.73	22	23	1153	164	5	3	3	3115	307	10	2	2	4
anciana	2185	-6.72	2	4	1966	211	21	13	6	3115	267	77	30	4	7
far	2185	-3.89	32	40	830	138	13	13	13	1146	401	4	4	4	3
borgonha	2184	-8.99	0	0	922	167	29	8	2	3115	111	36	9	2	8
govèrn	2166	-7.23	2	3	606	54	10	2	2	1856	34	5	2	1	6
comte	2160	-4.53	12	16	2336	932	252	9	4	2670	247	4	3	3	5
puèi	2155	-5.68	4	6	1858	66	4	1	1	480	11	5	4	4	4
contunh	2153	-7.89	0	1	2336	932	412	90	11	176	20	2	1	1	7
literatura	2153	-10.06	0	0	720	189	19	6	6	3115	323	57	32	9	10
département	2152	-8.68	0	0	1278	115	23	8	7	2452	870	570	366	117	11
sos	2149	-4.05	44	52	1249	189	28	28	28	4749	54	2	2	2	3
loire	2149	-5.33	10	12	720	128	9	3	2	2670	502	124	18	2	5
armada	2136	-5.91	2	3	1966	272	29	14	3	3115	453	283	11	5	6
primièra	2134	-7.71	0	1	1858	568	85	27	14	3115	323	55	27	2	8
vers	2132	-3.62	18	22	798	219	80	8	8	4749	320	95	9	9	4
municipalitats	2127	-11.73	0	0	1390	69	16	15	14	4749	521	199	56	32	14
segonda	2124	-6.83	2	4	1249	291	43	12	11	3115	453	35	10	2	7
uèi	2112	-5.55	10	13	163	5	2	2	2	480	11	5	5	5	3
conegut	2104	-6.86	0	2	2336	932	412	17	7	2452	111	26	8	3	7
aqueles	2103	-6.08	6	8	1966	40	38	28	8	4749	1104	172	4	1	7
revolucion	2102	-8.14	0	0	1153	629	38	7	6	1856	1020	537	325	15	10
vida	2100	-3.91	12	15	798	272	7	5	5	3115	453	70	4	4	4
poder	2095	-5.71	8	10	1858	274	24	10	7	1146	270	11	2	1	5
kilomètres	2062	-12.27	0	0	41	7	2	2	2	4749	1104	198	35	5	10
ses	2061	-3.09	46	56	1249	291	2	2	2	4749	1104	104	104	104	3
causa	2053	-5.19	10	15	2336	527	39	22	8	3115	182	22	12	2	5
sieus	2050	-6.09	4	7	1249	165	8	5	1	4749	196	8	5	2	5
route	2050	-6.03	8	9	1153	164	23	5	2	2670	247	13	6	4	5
ciutat	2044	-7.9	0	2	2336	89	6	5	5	2452	572	186	9	1	6
sistèma	2037	-8.19	2	3	1249	165	9	7	2	3115	83	12	3	2	7
annadas	2035	-6.69	4	5	1966	211	33	9	3	4749	1040	171	106	11	7
exemple	2029	-6.54	0	1	1196	150	15	4	4	2670	334	12	4	2	7
contra	2029	-5.0	6	7	2336	932	412	90	30	3115	323	29	9	3	6
louis	2017	-6.2	4	7	720	128	14	2	2	4749	309	11	1	1	5
òme	2006	-5.74	4	7	34	5	2	2	2	2670	141	1	1	1	3
euròpa	2004	-9.11	2	2	1196	30	12	1	1	3115	38	2	1	1	6
mei	1994	-4.79	32	37	1390	246	7	7	7	480	36	2	2	2	3
politica	1991	-7.43	0	1	1858	274	35	20	11	3115	231	150	50	3	8
ancian	1989	-5.77	2	4	1966	211	21	13	6	1856	342	62	14	2	6
trouve	1986	-6.19	8	9	923	285	54	14	11	2670	56	9	3	3	6
bois	1977	-4.37	16	21	922	167	12	12	12	4749	309	58	1	1	4
com	1976	-3.53	26	32	2336	932	252	252	252	149	17	2	2	2	3
drech	1975	-6.47	0	2	1278	40	14	5	5	176	61	6	3	2	5
via	1974	-3.35	26	37	798	272	16	16	16	3115	424	14	14	14	3
aital	1955	-5.79	4	5	1966	64	2	1	1	506	214	28	7	1	5
doncas	1945	-6.22	2	2	1278	162	38	3	1	4749	1040	92	9	2	6
franca	1938	-6.4	12	15	830	123	51	39	27	3115	231	21	11	4	6
grop	1927	-5.71	4	8	606	144	22	8	8	52	7	2	1	1	4
linha	1924	-5.78	4	5	720	189	22	4	4	3115	111	36	3	2	5
mais	1906	-4.12	24	30	1390	500	35	6	6	4749	309	52	3	3	4
òbra	1901	-6.28	2	4	34	2	2	2	2	3115	323	10	1	1	4
vèrs	1897	-4.74	8	8	798	10	5	2	2	4749	320	52	10	10	4
seine	1890	-5.82	6	7	1249	291	19	2	1	2670	252	82	5	1	5
edat	1878	-5.48	2	4	1196	28	2	2	2	2452	572	21	1	1	4
republica	1868	-8.25	0	0	1153	629	63	9	6	3115	231	150	10	2	9
donc	1857	-5.63	8	10	1278	162	38	3	3	340	18	3	2	2	4
jusqu	1851	-7.43	0	1	268	79	15	2	2	408	8	4	1	1	5
sovent	1848	-5.55	2	4	1249	189	6	2	2	2452	870	570	12	2	6
lès	1843	-4.89	24	28	720	9	1	1	1	4749	40	5	5	5	3
comme	1839	-4.26	12	13	2336	932	252	37	11	2670	141	6	4	1	5
fach	1837	-5.05	6	9	830	138	22	5	5	176	61	17	3	3	4
pichon	1835	-6.71	0	2	1858	108	16	6	4	1856	1020	19	1	1	6
breton	1825	-6.71	0	3	922	125	26	12	6	1856	1020	37	5	1	6
lors	1817	-4.47	24	29	720	128	13	3	3	4749	320	77	6	6	4
màger	1814	-6.62	0	1	1390	3	2	2	2	1146	270	15	1	1	5
ambé	1813	-5.72	6	9	1966	96	14	2	2	324	5	3	2	2	4
garona	1802	-7.13	2	2	606	130	35	2	2	3115	267	34	6	1	6
ven	1799	-3.79	32	40	798	219	71	71	71	1856	136	11	11	11	3
bretanha	1794	-8.11	0	0	922	125	26	12	2	3115	111	36	18	3	8
altitude	1793	-9.46	0	1	1966	187	19	4	4	2670	95	13	6	5	8
environ	1778	-7.85	0	2	1196	226	23	17	12	1856	1020	135	7	1	7
entorn	1768	-6.47	0	1	1196	226	68	7	3	1856	34	14	4	1	6
france	1768	-5.98	6	9	830	123	51	39	27	2670	95	55	33	3	6
champanha	1768	-8.63	0	0	2336	254	144	23	14	3115	111	36	18	5	9
mens	1754	-3.67	26	31	1390	246	62	3	3	4749	472	40	6	6	4
sei	1749	-4.23	46	53	1249	291	19	19	19	480	36	2	2	2	3
provença	1740	-6.48	0	0	1858	568	232	43	20	3115	58	41	23	2	8
