word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
a	50704	-4.3	0	35	1117	1117	1117	1117	1117	1710	1710	1710	1710	1710	1
an	49228	-2.52	46	77	1117	120	120	120	120	3626	1855	1855	1855	1855	2
na	23211	-3.15	72	86	427	101	101	101	101	1710	221	221	221	221	2
ann	22545	-3.59	18	32	1117	120	18	18	18	3626	479	142	142	142	3
e	21086	-4.3	0	30	511	511	511	511	511	1851	1851	1851	1851	1851	1
tha	19361	-3.57	18	28	1333	343	71	71	71	1710	129	42	42	42	3
agus	16117	-5.51	2	4	1117	33	4	3	3	1622	149	6	2	2	4
air	15267	-3.28	46	56	1117	193	24	24	24	1340	471	321	321	321	3
s	10677	-4.3	0	27	2061	2061	2061	2061	2061	1622	1622	1622	1622	1622	1
am	8274	-3.31	46	63	1117	76	76	76	76	345	89	89	89	89	2
anns	6862	-5.03	6	10	1117	120	18	2	2	1622	50	4	3	3	4
bha	6850	-3.44	24	32	1625	442	77	77	77	1710	129	22	22	22	3
gu	5301	-4.58	32	41	1081	81	81	81	81	130	1	1	1	1	2
aig	5113	-3.86	30	34	1117	193	5	5	5	592	169	83	83	83	3
is	5030	-3.26	42	52	469	30	30	30	30	1622	427	427	427	427	2
t	4841	-4.3	0	27	1333	1333	1333	1333	1333	654	654	654	654	654	1
h	4423	-4.3	0	15	388	388	388	388	388	3629	3629	3629	3629	3629	1
le	4201	-2.66	62	74	880	220	220	220	220	1851	221	221	221	221	2
baile	3992	-5.0	10	14	1625	244	20	8	3	1851	221	60	16	1	5
mar	3981	-3.24	68	82	1394	406	97	97	97	1340	366	21	21	21	3
bho	3748	-4.68	26	34	1625	442	41	41	41	561	15	1	1	1	3
de	3711	-2.94	66	79	1097	190	190	190	190	1851	78	78	78	78	2
seo	3405	-4.31	26	31	2061	247	14	14	14	561	22	5	5	5	3
bhaile	3385	-5.0	0	3	1625	442	77	9	3	1851	221	60	16	6	6
sin	3360	-3.59	36	45	2061	132	26	26	26	3626	497	8	8	8	3
ri	3343	-3.59	64	76	745	138	138	138	138	270	35	35	35	35	2
chaidh	3224	-3.71	6	9	2745	938	195	51	6	3629	1312	541	368	111	6
nan	2835	-3.56	52	55	427	101	4	4	4	3626	1855	113	113	113	3
th	2814	-2.59	52	65	1333	343	343	343	343	3629	193	193	193	193	2
dh	2634	-2.12	48	58	1097	245	245	245	245	3629	1312	1312	1312	1312	2
ach	2602	-3.15	12	26	1117	47	12	12	12	3629	1603	1058	1058	1058	3
as	2596	-3.05	48	68	1117	43	43	43	43	1622	491	491	491	491	2
iad	2540	-4.85	20	23	469	51	3	3	3	1042	119	5	5	5	3
b	2509	-4.3	0	24	1625	1625	1625	1625	1625	67	67	67	67	67	1
eadar	2500	-5.73	4	5	511	151	16	10	5	1340	366	25	8	5	5
airson	2471	-6.88	2	2	1117	193	24	2	1	3626	313	52	9	1	6
san	2466	-2.92	60	68	2061	243	34	34	34	3626	1855	101	101	101	3
do	2302	-3.0	60	68	1097	90	90	90	90	561	51	51	51	51	2
neo	2164	-5.16	24	28	427	81	3	3	3	561	22	3	3	3	3
ainm	2118	-5.83	8	13	1117	193	39	19	19	345	4	3	2	2	4
km	1992	-4.76	34	39	226	3	3	3	3	345	1	1	1	1	2
aige	1938	-4.68	24	26	1117	193	5	3	3	1851	89	28	9	9	4
suidhichte	1920	-9.05	0	0	2061	91	20	9	8	1851	305	108	93	91	10
daoine	1856	-6.92	4	7	1097	126	10	3	2	1851	238	75	8	5	6
i	1829	-4.3	0	31	469	469	469	469	469	270	270	270	270	270	1
leis	1810	-4.41	24	26	880	220	33	5	5	1622	427	25	2	2	4
sa	1783	-2.93	72	88	2061	243	243	243	243	1710	95	95	95	95	2
mh	1779	-2.65	58	65	1394	301	301	301	301	3629	133	133	133	133	2
dùthcha	1734	-7.53	2	4	1097	38	10	9	7	1710	129	26	3	3	7
fuireach	1706	-6.44	0	0	1125	62	11	4	1	3629	1603	1058	337	40	8
mu	1671	-4.2	64	73	1394	92	92	92	92	130	2	2	2	2	2
co	1670	-2.91	64	77	2745	394	394	394	394	561	34	34	34	34	2
alba	1587	-5.57	4	8	1117	123	23	12	12	1710	27	3	2	2	4
iar	1565	-4.44	32	37	469	51	22	22	22	1340	366	7	7	7	3
prìomh	1558	-5.67	2	3	948	123	11	8	4	3629	133	13	5	2	6
eile	1530	-4.44	24	27	511	94	24	14	14	1851	221	60	12	12	4
dhe	1510	-3.62	28	33	1097	245	65	65	65	1851	221	28	28	28	3
robh	1505	-4.99	4	7	745	136	13	4	4	3629	132	13	2	2	4
tuath	1475	-5.31	10	12	1333	120	31	16	16	3629	193	43	4	1	5
roinn	1462	-4.83	4	7	745	136	17	10	10	3626	479	305	6	3	5
gun	1458	-4.53	32	36	1081	81	8	8	8	3626	31	1	1	1	3
mòr	1449	-4.49	24	30	1394	19	9	9	9	1340	12	1	1	1	3
bheil	1438	-4.73	6	8	1625	442	79	16	4	1081	441	101	35	2	5
den	1417	-3.55	44	50	1097	190	4	4	4	3626	207	32	32	32	3
ris	1401	-3.57	26	36	745	138	4	4	4	1622	427	29	29	29	3
taobh	1398	-6.75	6	8	1333	181	11	2	2	3629	132	13	5	1	5
duine	1379	-5.24	8	12	1097	93	28	4	1	1851	238	75	6	1	5
no	1366	-3.16	62	71	427	67	67	67	67	561	51	51	51	51	2
cuideachd	1333	-6.58	0	0	2745	194	65	16	12	1042	355	353	334	142	9
linn	1331	-3.87	32	41	880	132	20	5	5	3626	479	305	12	12	4
motha	1287	-5.6	4	5	1394	160	12	7	4	1710	129	42	5	1	5
às	1219	-4.54	26	33	117	2	2	2	2	1622	13	13	13	13	2
nuair	1200	-5.48	2	3	427	23	6	2	1	1340	471	321	4	1	5
m	1184	-4.3	0	30	1394	1394	1394	1394	1394	345	345	345	345	345	1
deas	1170	-3.97	18	23	1097	190	76	12	12	1622	491	112	7	7	4
ceann	1164	-4.45	16	18	2745	161	67	32	22	3626	479	142	55	3	5
aon	1149	-3.68	28	36	1117	86	39	39	39	3626	313	7	7	7	3
beurla	1146	-7.64	0	1	1625	194	10	1	1	1710	123	5	3	2	6
bhith	1138	-5.43	16	17	1625	442	35	6	5	3629	193	43	2	1	5
far	1136	-3.63	38	49	1125	157	23	23	23	1340	366	3	3	3	3
fhèin	1135	-5.2	8	9	1125	327	7	6	1	3626	497	6	2	1	5
bliadhna	1131	-8.87	0	1	1625	54	8	7	6	1710	221	8	5	5	8
eilean	1082	-4.94	14	15	511	94	24	14	12	3626	1855	822	63	29	6
bh	1045	-2.6	46	57	1625	442	442	442	442	3629	132	132	132	132	2
cho	1042	-4.37	28	35	2745	938	144	144	144	561	15	5	5	5	3
dà	1031	-4.39	40	45	1097	21	21	21	21	18	1	1	1	1	2
os	1023	-3.51	42	50	316	32	32	32	32	1622	77	77	77	77	2
chuid	1015	-5.01	8	10	2745	938	115	43	9	1042	196	13	5	5	5
bhliadhna	994	-9.56	0	0	1625	442	12	4	4	1710	221	8	5	5	9
dùthaich	972	-5.83	0	1	1097	38	10	9	2	3629	1603	472	301	37	8
eil	969	-3.51	14	20	511	94	24	24	24	1081	441	101	101	101	3
aonaichte	961	-7.7	0	0	1117	86	39	21	6	1851	305	108	93	91	9
nam	961	-4.82	20	25	427	101	5	5	5	345	89	6	6	6	3
mhòr	959	-5.24	8	12	1394	301	15	5	5	1340	12	4	4	4	4
cionn	939	-5.27	4	8	2745	74	8	4	2	3626	479	17	6	1	5
chan	928	-3.26	30	37	2745	938	195	21	21	3626	1855	179	65	65	4
mara	921	-4.2	38	45	1394	406	97	6	6	1710	176	34	6	6	4
àite	919	-4.8	14	17	117	53	18	12	12	1851	305	20	3	3	4
chiad	906	-6.21	8	11	2745	938	59	11	2	1042	119	5	1	1	5
dèidh	906	-4.54	10	12	1097	19	9	3	2	3629	1312	541	10	1	5
ear	905	-3.8	34	45	511	151	26	26	26	1340	366	115	115	115	3
bhon	886	-4.56	18	20	1625	442	41	3	3	3626	313	11	1	1	4
ìre	883	-4.95	8	10	33	3	2	2	2	1851	193	3	3	3	3
fear	878	-4.3	18	23	1125	126	55	20	20	1340	366	115	2	2	4
beag	869	-4.6	8	11	1625	194	70	6	6	592	128	44	1	1	4
cha	857	-3.38	26	36	2745	938	195	195	195	1710	129	26	26	26	3
àirde	855	-6.41	4	6	117	53	23	4	3	1851	78	8	4	3	5
ag	850	-3.45	42	49	1117	33	33	33	33	592	128	128	128	128	2
à	843	-4.31	0	10	117	117	117	117	117	18	18	18	18	18	1
gach	833	-3.77	18	19	1081	165	1	1	1	3629	1603	1058	36	36	4
mach	816	-3.11	20	25	1394	406	81	10	10	3629	1603	1058	27	27	4
falbh	811	-5.6	2	3	1125	157	16	1	1	3629	132	11	7	1	5
nach	803	-3.56	16	19	427	101	3	2	2	3629	1603	1058	178	178	4
chuir	799	-4.78	14	19	2745	938	115	43	9	1340	471	8	2	1	5
gus	797	-3.65	26	31	1081	81	5	5	5	1622	149	6	6	6	3
oilthigh	794	-9.15	0	1	316	67	14	5	5	3629	188	121	4	3	8
fhuair	790	-5.31	2	4	1125	327	30	15	5	1340	471	321	4	1	6
stàitean	788	-7.08	0	0	2061	263	7	6	4	3626	1855	822	76	13	8
gàidhlig	778	-8.85	0	0	1081	23	14	8	8	592	169	11	4	4	8
dhan	765	-4.23	30	33	1097	245	23	2	2	3626	1855	179	14	14	4
fo	754	-4.0	40	46	1125	90	90	90	90	561	3	3	3	3	2
àm	747	-4.88	24	28	117	5	5	5	5	345	2	2	2	2	2
nas	743	-3.94	42	49	427	101	10	10	10	1622	491	49	49	49	3
rugadh	742	-6.2	2	5	745	95	5	1	1	3629	1312	746	28	3	6
faisg	737	-5.98	4	6	1125	157	36	3	2	592	46	24	6	1	5
latha	735	-5.99	8	13	880	159	10	6	4	1710	129	42	21	1	5
the	713	-3.45	16	24	1333	343	63	63	63	1851	221	27	27	27	3
rinn	709	-4.2	26	33	745	138	8	4	4	3626	479	305	11	11	4
chur	697	-4.95	14	19	2745	938	115	8	8	1340	47	5	1	1	4
ainmeil	694	-7.44	2	4	1117	193	39	19	10	1081	441	101	6	1	7
ga	688	-3.31	48	61	1081	165	165	165	165	1710	47	47	47	47	2
stèidheachadh	682	-8.52	0	0	2061	263	16	16	13	3629	1312	746	283	232	13
math	672	-4.33	24	27	1394	406	22	8	8	3629	193	43	2	2	4
ged	663	-5.18	26	28	1081	104	1	1	1	1042	47	2	2	2	3
luchd	656	-5.01	4	6	880	100	16	4	1	1042	355	353	5	1	5
diugh	654	-6.29	4	5	1097	96	3	1	1	3629	188	13	4	1	5
cuid	642	-4.26	14	17	2745	194	65	16	16	1042	196	13	3	3	4
gur	616	-4.67	30	34	1081	81	1	1	1	1340	47	3	3	3	3
taigh	608	-4.89	14	21	1333	181	40	5	4	3629	188	121	63	7	5
sgìre	602	-5.16	2	2	2061	192	7	5	5	1851	193	3	1	1	5
loch	601	-3.94	12	16	880	114	17	16	16	3629	1603	31	7	7	4
aca	592	-5.05	18	25	1117	47	17	17	17	1710	70	8	8	8	3
nàiseanta	591	-8.44	0	0	427	26	9	7	7	1710	194	57	45	22	9
mòran	590	-5.07	6	10	1394	19	9	5	1	3626	1855	118	3	1	5
fad	589	-4.56	26	35	1125	157	8	8	8	1042	119	1	1	1	3
obair	584	-5.4	4	6	316	33	10	2	1	1340	471	321	12	8	5
seann	579	-4.13	18	21	2061	247	110	27	3	3626	479	142	55	2	5
àireamh	565	-7.01	4	4	117	53	23	11	9	3629	133	75	32	6	7
uile	563	-4.79	30	33	273	54	14	4	4	1851	221	60	4	4	4
bu	555	-4.01	52	62	1625	164	164	164	164	130	3	3	3	3	2
of	553	-5.01	26	29	316	8	8	8	8	62	1	1	1	1	2
thug	552	-5.99	8	11	1333	343	45	3	3	592	13	1	1	1	4
dha	551	-4.34	24	32	1097	245	23	23	23	1710	129	16	16	16	3
suidhe	549	-5.81	4	7	2061	91	20	9	8	1851	221	28	23	5	6
chomharran	533	-8.01	0	0	2745	938	144	35	17	3626	1855	118	9	7	10
rìgh	533	-4.86	2	3	745	19	3	3	3	3629	188	6	6	6	4
aghaidh	533	-5.89	4	5	1117	33	7	6	4	3629	1312	541	368	111	7
ciallachadh	531	-8.72	0	0	2745	74	13	4	4	3629	1312	746	283	232	11
dhen	529	-4.82	14	17	1097	245	65	2	2	3626	207	11	1	1	4
eachdraidh	524	-7.78	0	0	511	151	28	17	10	3629	1312	541	368	55	10
nis	519	-3.77	24	32	427	84	3	3	3	1622	427	25	25	25	3
còmhla	516	-5.98	2	4	2745	56	22	22	4	1710	123	7	5	2	6
dìreach	516	-5.74	4	6	1097	31	3	2	2	3629	1603	1058	337	40	7
inbhir	506	-7.56	0	0	469	106	7	7	2	1340	471	16	4	1	6
canar	501	-5.62	8	10	2745	398	39	17	3	1340	366	15	6	1	5
port	500	-4.32	18	22	948	120	23	19	19	654	157	24	6	6	4
bailtean	500	-6.6	0	1	1625	244	20	8	1	3626	1855	822	76	15	8
dùbhlachd	500	-7.36	0	0	1097	38	9	8	5	1042	355	353	334	30	9
eileanan	499	-6.72	0	1	511	94	24	14	12	3626	1855	113	49	23	8
duais	494	-5.14	2	3	1097	93	16	2	2	1622	427	208	6	1	5
ipa	491	-5.84	10	12	469	3	2	2	2	1710	37	4	4	4	3
meadhan	491	-6.3	4	7	1394	154	56	12	11	3626	1855	179	14	8	7
thàinig	491	-8.18	2	5	1333	343	10	4	3	592	169	8	7	4	7
àrd	488	-4.06	8	12	117	36	13	13	13	1042	112	4	4	4	3
cànan	486	-4.88	2	4	2745	44	9	9	7	3626	1855	113	2	1	5
n	483	-4.3	0	26	427	427	427	427	427	3626	3626	3626	3626	3626	1
leth	475	-5.36	16	19	880	220	7	4	4	3629	193	15	2	2	4
crìochan	473	-6.53	0	0	2745	196	23	17	7	3626	1855	179	65	7	8
feadh	463	-4.15	4	6	1125	126	55	9	3	3629	1312	746	162	1	5
urrainn	463	-6.29	2	3	273	52	13	12	5	3626	479	305	153	18	7
chaochail	461	-7.93	0	0	2745	938	195	17	5	1081	441	232	82	31	9
bharrachd	460	-6.39	0	0	1625	442	77	12	5	1042	355	353	334	28	9
lorg	458	-5.11	8	10	880	114	12	6	6	592	72	9	1	1	4
thuath	456	-6.21	0	2	1333	343	45	6	4	3629	193	43	4	1	6
spàinntis	448	-8.48	0	0	2061	100	19	13	11	1622	427	13	3	2	9
se	447	-2.71	68	77	2061	247	247	247	247	1851	123	123	123	123	2
cheann	445	-4.36	12	14	2745	938	106	43	26	3626	479	142	55	11	6
o	442	-4.3	0	28	316	316	316	316	316	561	561	561	561	561	1
rèir	442	-4.55	18	18	745	20	18	1	1	1340	471	7	1	1	4
faoilleach	441	-7.03	0	0	1125	157	21	8	5	3629	1603	1058	337	32	10
ùr	439	-4.13	28	33	43	10	10	10	10	1340	8	8	8	8	2
seòrsa	438	-6.35	4	7	2061	247	22	8	7	1710	95	23	10	6	6
bhuannaich	436	-8.32	0	0	1625	442	67	27	6	3629	1603	472	301	97	10
thoirt	436	-6.09	4	6	1333	343	48	13	5	654	157	56	5	2	6
uisge	433	-6.47	0	1	273	54	5	2	2	1851	89	4	4	1	5
neach	432	-4.0	8	10	427	81	20	4	2	3629	1603	1058	337	52	5
bidh	430	-3.99	8	12	1625	77	4	3	3	3629	1312	541	1	1	4
mac	425	-4.46	38	44	1394	406	81	81	81	217	34	3	3	3	3
sgrìobhadh	421	-7.19	0	0	2061	192	46	19	19	3629	1312	746	283	15	10
dùn	421	-4.47	16	18	1097	38	3	3	3	3626	10	1	1	1	3
uair	420	-4.3	8	12	273	57	24	9	9	1340	471	321	4	4	4
bith	413	-4.71	22	25	1625	77	11	10	10	3629	193	43	2	2	4
àird	410	-5.08	6	10	117	53	23	4	4	1042	112	18	4	4	4
laideann	410	-6.62	0	0	880	159	24	6	2	3626	479	142	55	6	8
leabhar	408	-6.79	2	4	880	220	85	12	9	1340	366	63	18	5	7
fhathast	407	-8.09	0	0	1125	327	89	2	2	654	92	15	2	1	8
dheas	406	-4.48	12	13	1097	245	65	39	6	1622	491	112	30	2	5
cur	404	-4.19	34	39	2745	194	13	13	13	1340	47	2	2	2	3
steach	401	-4.27	0	2	2061	263	35	6	2	3629	1603	1058	337	57	6
thathar	397	-6.48	8	10	1333	343	71	6	3	1340	366	63	21	12	7
eòrpa	396	-6.66	6	6	511	23	6	4	4	1710	37	4	1	1	5
la	393	-3.19	66	79	880	159	159	159	159	1710	123	123	123	123	2
trì	386	-4.65	10	17	1333	194	3	3	3	23	7	3	3	3	3
nobel	385	-6.94	0	1	427	67	6	1	1	1081	76	4	1	1	5
eaglais	385	-7.75	0	1	511	151	19	5	4	1622	427	208	29	3	7
afraga	383	-8.03	0	0	1117	12	6	2	2	1710	47	14	4	1	6
tro	382	-3.89	14	22	1333	194	26	26	26	561	54	5	5	5	3
oifigeil	379	-8.91	0	0	316	67	10	10	8	1081	441	101	10	2	8
iomadh	375	-5.38	2	5	469	130	52	26	10	3629	1312	746	12	5	6
c	375	-4.3	0	29	2745	2745	2745	2745	2745	217	217	217	217	217	1
abhainn	374	-5.65	2	5	1117	52	10	9	5	3626	479	305	153	42	7
d	370	-4.3	0	23	1097	1097	1097	1097	1097	1042	1042	1042	1042	1042	1
measg	367	-5.95	2	4	1394	154	56	14	6	592	46	10	4	1	5
coloimbia	367	-8.7	0	0	2745	394	52	14	3	1710	244	19	10	5	9
gum	364	-4.35	20	22	1081	81	2	2	2	345	59	1	1	1	3
cogadh	364	-5.88	2	4	2745	394	6	5	1	3629	1312	746	28	5	6
ghàidhlig	362	-9.72	0	0	1081	273	14	10	7	592	169	11	4	4	9
sgìrean	362	-5.56	2	2	2061	192	7	5	5	3626	1855	822	104	7	7
ath	359	-3.87	16	28	1117	44	24	24	24	3629	193	43	43	43	3
thogail	358	-6.8	0	2	1333	343	48	10	6	1081	441	232	24	4	7
dhèanamh	358	-9.13	0	1	1097	245	11	5	5	3629	133	75	8	4	8
aice	357	-4.78	14	18	1117	193	9	2	2	1851	74	28	2	2	4
roinne	354	-5.68	2	6	745	136	17	10	10	1851	238	67	54	6	6
siorrachd	351	-7.51	0	0	2061	132	31	11	7	1042	355	353	334	28	9
gabhail	349	-6.4	2	5	1081	165	20	12	11	1081	441	232	82	13	7
dol	342	-4.41	28	30	1097	90	7	7	7	1081	48	1	1	1	3
thall	340	-4.81	12	15	1333	343	71	6	2	1081	185	72	14	2	5
ma	340	-2.9	80	98	1394	406	406	406	406	1710	65	65	65	65	2
làidir	338	-7.49	2	3	880	38	14	2	2	1340	471	4	4	1	6
tric	336	-5.0	14	17	1333	194	32	4	4	217	78	14	1	1	4
dheireadh	336	-7.03	0	0	1097	245	65	12	5	3629	1312	746	162	22	9
ball	334	-4.17	26	29	1625	244	35	13	13	1081	185	72	10	10	4
rathad	331	-6.47	0	3	745	121	14	12	11	1042	119	18	9	5	6
stàit	331	-6.12	4	5	2061	263	7	6	4	654	51	3	1	1	5
aibhne	329	-7.27	2	3	1117	193	9	5	3	1851	238	18	4	4	6
sgoil	328	-5.22	10	15	2061	192	18	12	11	1081	441	22	3	2	5
rìoghachd	327	-8.15	0	0	745	19	8	7	7	1042	355	353	334	27	9
fhàs	327	-4.69	10	11	1125	327	19	5	5	1622	13	3	1	1	4
dàrna	324	-6.08	4	7	1097	21	2	1	1	1710	221	24	6	1	5
bheurla	324	-8.42	0	1	1625	442	79	6	1	1710	123	5	3	2	7
cleachdadh	323	-7.11	0	0	2745	181	29	19	11	3629	1312	746	22	9	10
eòlas	323	-5.05	2	4	511	23	12	12	6	1622	491	46	7	7	5
pàirt	322	-5.09	8	9	948	41	22	10	6	654	157	56	4	1	5
bun	322	-4.09	34	40	1625	164	20	20	20	3626	31	2	2	2	3
dòigh	320	-6.06	6	7	1097	19	2	2	2	3629	188	121	2	1	5
toirt	320	-5.58	4	7	1333	131	21	7	1	654	157	56	5	1	5
sam	318	-4.19	26	30	2061	243	27	27	27	345	89	1	1	1	3
sgrìobh	316	-6.36	2	4	2061	192	46	19	19	3629	132	13	4	1	7
don	315	-3.71	40	47	1097	90	12	12	12	3626	313	8	8	8	3
sluaigh	314	-7.09	0	2	2061	70	8	4	2	3629	188	121	63	3	7
beatha	312	-6.23	4	7	1625	194	70	10	9	1710	129	42	21	7	6
thòisich	311	-7.85	0	2	1333	343	8	4	4	3629	1603	472	14	9	8
thu	311	-4.8	14	21	1333	343	45	45	45	130	10	1	1	1	3
comhairle	310	-8.09	0	0	2745	394	76	31	21	1851	221	6	5	4	9
ro	310	-3.18	56	74	745	136	136	136	136	561	54	54	54	54	2
riaghaltas	309	-10.18	0	0	745	138	45	26	25	1622	491	46	9	6	10
poblachd	309	-7.04	0	1	948	120	12	10	9	1042	355	353	334	30	8
phrìomh	309	-6.33	2	3	948	202	35	8	7	3629	133	13	5	2	7
sluagh	306	-7.21	0	3	2061	70	8	4	2	3629	188	28	4	2	6
esan	306	-5.33	2	5	511	22	1	1	1	3626	1855	101	3	3	4
nuadh	302	-5.26	6	7	427	23	6	2	2	3629	1312	746	5	1	5
eisimpleir	301	-10.81	0	0	511	94	28	14	13	1340	471	31	11	3	10
stèisean	301	-6.56	0	0	2061	263	16	16	3	3626	1855	822	61	44	8
turas	298	-5.25	2	4	1333	120	27	7	4	1622	491	35	3	1	5
fraingis	297	-8.51	0	0	1125	104	35	5	5	1622	427	7	2	2	8
leum	296	-5.0	12	12	880	220	16	3	3	345	59	9	2	2	4
chèile	294	-6.46	4	6	2745	938	10	8	3	1851	221	60	7	1	6
àraidh	293	-5.07	10	14	117	36	15	10	6	3629	1312	541	368	55	6
saoghail	287	-8.0	0	2	2061	243	26	4	3	1081	441	232	82	10	8
stàite	284	-6.27	2	3	2061	263	7	6	4	1851	305	20	3	1	6
sgàth	284	-5.64	12	14	2061	192	7	3	3	3629	193	16	2	1	5
iuchar	282	-7.3	2	4	469	10	4	4	3	1340	366	63	14	1	6
saoghal	281	-8.0	0	2	2061	243	26	4	3	1081	238	31	6	3	7
èirinn	279	-6.86	8	8	33	30	11	7	2	3626	479	305	11	5	6
facal	279	-6.28	0	4	1125	157	20	3	1	1081	238	11	3	1	5
gearmailtis	279	-11.21	0	0	1081	104	41	20	9	1622	427	13	5	5	11
chleachdadh	276	-8.22	0	0	2745	938	84	13	13	3629	1312	746	22	9	11
broinn	275	-5.51	2	6	1625	222	33	4	3	3626	479	305	6	3	6
ghabh	273	-5.74	2	4	1081	273	59	10	8	3629	132	16	1	1	5
cumanta	271	-6.7	0	3	2745	194	25	12	3	1710	194	57	45	4	7
cilemeatair	270	-11.19	0	0	2745	74	8	4	2	1340	471	321	50	7	11
sgioba	268	-6.91	0	1	2061	192	34	13	8	1710	27	3	1	1	6
clachan	266	-5.31	2	4	2745	181	65	7	7	3626	1855	179	65	54	7
dheth	266	-6.8	10	12	1097	245	65	1	1	3629	193	15	4	1	5
coltach	265	-6.11	0	2	2745	394	52	7	6	3629	1603	1058	47	10	7
sna	264	-4.09	16	20	2061	25	7	7	7	1710	221	3	3	3	3
toiseach	264	-6.5	0	0	1333	131	21	6	3	3629	1603	1058	337	34	8
sasainn	263	-6.52	4	9	2061	243	16	7	3	3626	479	305	153	10	7
ruige	263	-5.47	4	7	745	95	32	11	4	1851	89	28	3	1	5
ghearmailt	261	-9.34	0	0	1081	273	43	29	18	654	46	24	19	5	10
thaobh	258	-6.54	0	1	1333	343	71	5	3	3629	132	13	5	1	6
bhios	256	-5.32	6	7	1625	442	35	7	1	1622	77	22	6	1	5
bhiodh	255	-5.96	4	6	1625	442	35	7	2	3629	1312	13	7	2	6
iain	254	-5.86	12	15	469	51	4	3	3	3626	497	222	3	3	4
ciùil	254	-6.12	10	13	2745	74	4	4	1	1081	441	10	5	1	5
sultain	253	-6.78	0	3	2061	91	6	4	3	3626	497	222	22	3	7
mòra	252	-4.97	10	13	1394	19	9	5	5	1710	176	2	1	1	4
freumhan	250	-7.51	0	0	1125	104	31	4	3	3626	1855	179	28	3	8
ionadail	248	-7.21	0	2	469	130	47	12	6	1081	441	232	38	7	8
ràdh	248	-4.98	6	8	745	14	2	2	2	3629	1312	4	4	4	4
meadhanach	248	-8.07	0	0	1394	154	56	12	11	3629	1603	1058	178	107	10
timcheall	248	-10.63	0	0	1333	101	7	1	1	1081	185	72	16	9	9
obar	247	-4.93	4	7	316	33	10	1	1	1340	366	15	7	7	4
àireamhan	247	-7.83	0	0	117	53	23	11	9	3626	1855	179	28	17	9
dèanamh	244	-7.67	4	5	1097	19	9	8	5	3629	133	75	8	4	7
buaidh	243	-4.62	8	12	1625	164	31	9	3	3629	1312	541	368	16	6
sgrìobhadair	243	-9.16	0	0	2061	192	46	19	19	1340	471	321	86	63	12
earra	243	-5.29	6	9	511	151	26	12	12	1710	176	38	20	3	5
ruith	239	-5.34	6	8	745	95	32	7	7	3629	193	43	3	1	5
br	239	-4.44	56	63	1625	222	222	222	222	1340	1	1	1	1	2
contae	238	-7.25	0	1	2745	394	67	5	2	1851	14	2	2	2	6
sàs	236	-4.9	16	19	2061	21	1	1	1	1622	13	1	1	1	3
oir	236	-3.74	28	37	316	67	8	8	8	1340	471	19	19	19	3
aois	233	-4.27	20	26	1117	86	14	4	4	1622	427	19	5	5	4
ais	232	-3.53	30	37	1117	193	16	16	16	1622	427	208	208	208	3
bheag	232	-4.8	2	4	1625	442	79	42	5	592	128	44	3	1	5
fhacal	231	-6.71	2	5	1125	327	89	10	3	1081	238	11	3	1	6
mun	230	-4.19	42	45	1394	92	7	7	7	3626	31	1	1	1	3
thairis	230	-6.0	0	0	1333	343	71	14	3	1622	427	29	6	2	7
giblean	230	-7.6	2	3	1081	74	3	1	1	3626	1855	822	63	2	7
tè	229	-4.87	42	45	1333	8	8	8	8	14	1	1	1	1	2
and	229	-4.14	22	31	1117	120	17	17	17	1042	89	57	57	57	3
fèisean	228	-6.04	2	3	1125	14	14	2	1	3626	1855	822	61	44	7
cumail	227	-5.64	0	1	2745	194	25	12	4	1081	441	232	4	3	6
spàinne	226	-6.0	4	5	2061	100	19	13	11	1851	238	67	54	4	7
cudromach	226	-8.27	0	0	2745	194	7	3	3	3629	1603	1058	27	10	9
fìor	225	-5.48	10	13	1125	23	11	5	5	1340	87	3	1	1	4
aimearaga	225	-9.95	0	0	1117	193	21	12	5	1710	47	14	4	2	9
tìrean	225	-5.12	4	6	1333	21	6	4	3	3626	1855	822	104	7	6
roinnean	224	-6.37	0	0	745	136	17	10	10	3626	1855	822	38	22	8
sònraichte	223	-8.86	0	0	2061	14	3	3	3	1851	305	108	93	91	10
chun	223	-4.86	14	17	2745	938	115	12	12	3626	31	7	2	2	4
ògmhios	222	-9.09	4	4	52	6	2	2	1	1622	77	22	6	3	7
ar	222	-2.92	56	82	1117	127	127	127	127	1340	366	366	366	366	2
arm	222	-4.61	20	26	1117	127	16	16	16	345	23	2	2	2	3
rud	221	-4.58	26	29	745	95	7	7	7	1042	21	1	1	1	3
bruidhinn	220	-7.83	0	0	1625	222	27	8	3	3626	479	305	34	6	9
lùnasdal	220	-9.24	0	0	880	24	4	4	4	1081	238	20	5	4	8
màrt	220	-5.51	10	12	1394	18	5	2	2	654	157	2	1	1	4
dubh	219	-4.79	2	6	1097	93	10	9	9	3629	132	5	1	1	4
ceimeagair	219	-9.22	0	0	2745	161	31	8	4	1340	471	321	19	5	10
fada	218	-5.21	14	18	1125	157	8	5	5	1710	84	18	1	1	4
loidhne	217	-7.3	4	4	880	114	19	5	5	1851	238	18	4	4	7
bheachd	217	-4.69	4	5	1625	442	79	42	10	1042	355	353	334	142	7
tighinn	216	-6.93	4	6	1333	101	14	8	2	3626	479	305	34	12	7
