word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
un	249931	-4.96	20	24	326	31	31	31	31	101	2	2	2	2	2
ir	173277	-4.98	56	59	1355	14	14	14	14	114	6	6	6	6	2
no	104380	-3.02	44	50	885	464	464	464	464	535	32	32	32	32	2
ar	97568	-4.22	58	72	1765	96	96	96	96	114	14	14	14	14	2
gadā	77973	-5.3	14	14	540	206	26	1	1	1307	40	6	1	1	4
par	72084	-4.21	22	26	2243	628	105	105	105	114	14	1	1	1	3
gada	65782	-4.62	28	31	540	206	26	3	3	3215	148	13	1	1	4
bija	59471	-3.8	8	9	782	96	16	1	1	3215	674	233	7	7	4
arī	59131	-4.74	10	13	1765	96	1	1	1	79	20	3	3	3	3
kas	51602	-2.73	12	16	1352	372	9	9	9	6739	2053	147	147	147	3
kā	49966	-3.05	20	23	1352	63	63	63	63	1307	140	140	140	140	2
tika	48720	-4.76	12	15	832	123	16	2	2	3215	185	51	20	20	4
uz	45441	-4.07	14	16	326	227	227	227	227	58	2	2	2	2	2
pēc	39809	-4.44	2	3	2243	73	12	12	12	45	3	3	3	3	3
līdz	33926	-4.59	2	3	858	115	58	48	48	58	25	4	4	4	4
bet	32205	-4.93	16	20	782	88	4	4	4	684	32	1	1	1	3
tā	30499	-3.5	26	30	832	38	38	38	38	1307	143	143	143	143	2
to	25328	-3.42	48	53	832	58	58	58	58	535	89	89	89	89	2
ka	24281	-2.56	46	53	1352	372	372	372	372	3215	185	185	185	185	2
latvijas	22771	-7.04	0	1	858	200	32	16	14	6739	2053	484	371	18	8
vai	22187	-3.61	18	23	1160	270	41	41	41	1853	193	6	6	6	3
viņš	22186	-4.1	8	8	1160	423	12	1	1	49	25	25	3	3	4
tiek	20082	-5.52	4	7	832	123	38	4	4	105	14	10	7	7	4
var	19575	-4.6	24	30	1160	270	44	44	44	114	14	3	3	3	3
laikā	18807	-5.6	10	10	858	200	39	24	1	1307	140	28	1	1	5
tas	18769	-3.18	22	24	832	101	2	2	2	6739	2053	188	188	188	3
lai	16880	-3.65	10	15	858	200	39	39	39	1853	193	6	6	6	3
pie	15635	-3.49	6	7	2243	442	307	307	307	541	97	1	1	1	3
pasaules	15317	-8.69	0	1	2243	628	74	14	5	6739	847	83	6	3	8
tās	15213	-3.79	8	11	832	38	1	1	1	6739	650	68	68	68	3
gan	14381	-4.75	16	18	540	206	7	7	7	101	23	2	2	2	3
viņa	14105	-4.02	18	23	1160	423	12	5	5	3215	67	30	2	2	4
tikai	13977	-5.61	0	1	832	123	16	2	1	1853	193	11	5	2	5
atrodas	13868	-6.92	2	3	1765	456	28	7	7	6739	2053	69	13	7	7
kad	13249	-5.11	12	14	1352	372	4	4	4	94	14	3	3	3	3
valsts	12103	-5.71	6	8	1160	270	75	12	12	6739	502	83	7	7	6
rīgas	11818	-5.02	4	5	759	34	5	3	1	6739	2053	75	28	8	5
gadu	11448	-4.82	18	19	540	206	26	2	2	2678	98	10	4	4	4
kļuva	11177	-6.12	2	2	1352	20	5	5	1	3215	92	14	5	5	5
dzimis	10898	-6.28	0	0	1082	182	87	33	1	6739	564	8	2	2	6
nav	10829	-6.66	0	2	885	62	3	3	3	32	1	1	1	1	3
m	10598	-4.3	0	30	1122	1122	1122	1122	1122	1190	1190	1190	1190	1190	1
kur	10563	-4.62	6	13	1352	93	37	37	37	114	20	2	2	2	3
savu	10455	-4.21	10	12	2001	574	60	4	4	2678	60	16	1	1	4
gadam	10424	-5.82	4	5	540	206	26	3	1	1190	167	9	2	1	5
asv	9713	-7.01	14	16	1765	69	1	1	1	32	2	1	1	1	3
kara	9710	-4.13	32	36	1352	372	114	50	50	3215	253	30	5	5	4
tam	9620	-4.1	12	16	832	101	4	4	4	1190	167	24	24	24	3
latviešu	9404	-7.24	0	0	858	200	32	16	14	2678	113	56	44	6	8
jau	9188	-6.13	4	6	295	109	71	71	71	2678	2	1	1	1	3
jo	8807	-3.74	30	32	295	35	35	35	35	535	25	25	25	25	2
vēlāk	8574	-5.99	0	3	1160	115	28	10	9	105	47	4	1	1	5
pilsētas	8345	-6.26	0	1	2243	442	78	38	14	6739	2053	188	29	8	8
taču	8337	-6.14	2	2	832	101	1	1	1	2678	24	2	1	1	4
tomēr	8238	-7.5	0	0	832	58	9	1	1	114	4	4	1	1	5
viens	8120	-4.34	12	15	1160	423	138	78	5	6739	209	51	21	3	5
kopā	8064	-5.56	10	11	1352	417	49	2	2	1307	14	7	1	1	4
starp	8052	-6.58	8	10	2001	275	102	47	25	51	5	3	2	2	5
kuru	8012	-4.68	22	27	1352	93	37	2	2	2678	227	21	3	3	4
pret	7827	-4.75	2	3	2243	330	83	38	38	684	32	2	1	1	4
ko	7769	-2.57	42	44	1352	417	417	417	417	535	97	97	97	97	2
būt	7688	-4.18	6	7	782	37	14	14	14	684	14	5	5	5	3
eiropas	7659	-8.25	2	3	312	25	21	19	9	6739	2053	22	7	5	7
ļoti	7613	-6.16	4	4	19	1	1	1	1	1853	318	46	1	1	4
viena	7495	-4.55	20	24	1160	423	138	78	6	3215	303	37	21	2	5
piemēram	7490	-7.86	0	0	2243	442	307	29	10	1190	167	21	2	2	8
pilsēta	7485	-5.8	4	6	2243	442	78	38	14	3215	456	51	7	4	7
sastāvā	7478	-7.3	8	9	2001	574	69	31	18	1307	32	4	3	3	7
kopš	7269	-5.93	6	6	1352	417	49	2	2	49	1	1	1	1	4
latvijā	7228	-7.27	4	4	858	200	32	16	14	1307	290	142	6	1	7
km	7146	-5.45	38	43	1352	3	3	3	3	1190	1	1	1	1	2
vēl	7099	-4.85	4	6	1160	115	28	28	28	76	3	2	2	2	3
kurā	7047	-5.66	12	16	1352	93	37	3	3	1307	69	6	2	2	4
šo	6891	-3.41	32	35	165	16	16	16	16	535	27	27	27	27	2
vairāk	6811	-7.44	0	2	1160	270	41	30	16	105	47	5	2	2	6
kura	6797	-5.0	20	25	1352	93	37	4	4	3215	253	21	5	5	4
kuras	6772	-5.24	24	26	1352	93	37	4	1	6739	2053	99	11	2	5
krievijas	6685	-7.24	0	0	1352	178	75	11	10	6739	2053	484	371	18	9
kurš	6640	-6.04	10	13	1352	93	37	4	4	49	8	2	2	2	4
tie	6631	-4.34	12	17	832	123	38	38	38	541	97	16	16	16	3
tajā	6562	-4.33	2	3	832	101	3	2	2	1307	290	102	22	22	4
ap	6479	-3.99	50	58	1765	361	361	361	361	51	3	3	3	3	2
daļa	6472	-4.22	18	20	1082	224	14	3	3	3215	53	10	5	5	4
šajā	6365	-4.72	4	5	165	40	3	2	2	1307	290	102	9	9	4
jeb	6330	-4.99	2	2	295	37	14	14	14	17	3	1	1	1	3
novada	6301	-5.63	10	11	885	464	65	11	10	3215	148	13	6	2	6
a	6295	-4.3	0	31	1765	1765	1765	1765	1765	3215	3215	3215	3215	3215	1
pirmo	6262	-6.17	4	5	2243	442	36	25	3	535	26	2	1	1	5
parasti	6236	-6.7	12	12	2243	628	105	34	9	1853	318	46	7	5	7
pat	6205	-4.44	10	14	2243	628	44	44	44	684	19	4	4	4	3
pa	6134	-2.86	46	53	2243	628	628	628	628	3215	38	38	38	38	2
notika	6131	-5.64	8	8	885	464	55	23	17	3215	185	51	20	2	6
viņu	6124	-3.89	14	16	1160	423	12	2	2	2678	141	41	4	4	4
ja	6112	-2.6	34	39	295	109	109	109	109	3215	674	674	674	674	2
sāka	6089	-4.37	12	17	2001	50	28	2	2	3215	185	18	6	6	4
zemes	6052	-5.24	10	12	374	73	57	10	8	6739	847	55	15	12	5
c	5997	-4.3	0	18	330	330	330	330	330	45	45	45	45	45	1
pirms	5823	-5.26	6	9	2243	442	36	25	6	6739	236	2	2	2	5
iela	5819	-4.85	6	11	1355	481	14	4	4	3215	150	14	6	6	4
vietu	5738	-4.43	16	16	1160	423	138	25	1	2678	365	21	8	3	5
trīs	5730	-6.03	0	0	832	133	11	11	11	6739	14	1	1	1	4
jūras	5687	-4.4	10	11	295	38	15	5	3	6739	2053	99	25	5	5
vācu	5656	-5.87	4	5	1160	57	16	1	1	2678	15	2	2	2	4
šī	5534	-4.93	8	12	165	3	3	3	3	79	2	2	2	2	2
tad	5510	-5.75	14	16	832	101	2	2	2	94	14	2	2	2	3
gados	5496	-5.72	4	5	540	206	26	1	1	6739	288	13	2	1	5
grupas	5493	-6.71	6	7	540	136	14	8	3	6739	2053	22	5	5	6
vēsture	5449	-8.03	6	8	1160	115	33	33	26	541	30	3	2	2	7
visu	5317	-5.08	14	19	1160	423	75	7	7	2678	56	4	1	1	4
vienu	5264	-4.47	24	26	1160	423	138	78	2	2678	262	37	26	3	5
g	5263	-4.3	0	11	540	540	540	540	540	30	30	30	30	30	1
i	5234	-4.3	0	28	1355	1355	1355	1355	1355	1853	1853	1853	1853	1853	1
nekā	5127	-5.25	2	2	885	248	18	6	6	1307	140	4	1	1	4
laika	5068	-5.74	16	18	858	200	39	24	5	3215	185	51	3	2	5
vietā	5051	-5.22	10	12	1160	423	138	25	3	1307	143	8	3	1	5
ieguva	4914	-6.29	6	6	1355	481	43	16	13	3215	92	14	6	3	6
gadsimta	4909	-8.58	0	0	540	206	26	9	8	3215	456	11	4	1	8
pirmā	4879	-5.21	6	7	2243	442	36	25	2	1307	127	3	2	1	5
the	4857	-5.12	2	5	832	9	1	1	1	541	6	1	1	1	3
s	4800	-4.3	0	27	2001	2001	2001	2001	2001	6739	6739	6739	6739	6739	1
pirmais	4709	-6.53	0	0	2243	442	36	25	8	6739	564	182	11	1	7
pagasta	4616	-6.74	10	11	2243	628	30	21	10	3215	456	62	6	1	7
centrs	4601	-6.73	12	14	330	108	43	37	27	6739	203	13	1	1	6
lielākā	4572	-7.16	10	12	858	283	158	87	24	1307	140	29	4	2	7
sezonas	4561	-6.56	4	5	2001	222	7	7	7	6739	2053	319	25	5	7
daudz	4545	-5.68	0	3	1082	224	41	30	30	58	25	2	2	2	5
p	4512	-4.3	0	20	2243	2243	2243	2243	2243	51	51	51	51	51	1
tāpat	4442	-9.38	0	0	832	38	2	1	1	684	19	4	1	1	5
piedalījās	4374	-8.36	0	0	2243	442	307	51	11	6739	650	153	25	4	10
psrs	4366	-6.14	2	3	2243	12	2	1	1	6739	203	1	1	1	4
rīgā	4361	-4.65	10	10	759	34	5	1	1	1307	61	34	7	7	4
dēļ	4339	-5.0	2	3	1082	19	3	3	3	9	3	3	3	3	3
spēlē	4329	-4.97	4	7	2001	168	63	25	19	222	24	2	2	2	5
spēles	4289	-5.3	6	7	2001	168	63	25	3	6739	847	83	10	5	6
divas	4289	-5.01	8	8	1082	214	24	1	1	6739	2053	102	2	1	5
sezonā	4282	-6.85	4	6	2001	222	7	7	7	1307	122	19	3	1	6
savukārt	4231	-10.49	0	0	2001	574	60	4	1	684	25	10	10	1	8
bieži	4218	-6.59	2	3	782	96	22	2	1	1853	13	3	2	1	5
sākumā	4176	-5.98	6	6	2001	50	28	9	6	1307	127	73	12	4	6
apmēram	4154	-7.81	0	0	1765	361	29	2	2	1190	167	21	2	2	7
daļu	4152	-4.14	18	18	1082	224	14	1	1	2678	93	16	6	6	4
u	4146	-4.3	0	16	326	326	326	326	326	2678	2678	2678	2678	2678	1
laiku	4135	-5.57	14	15	858	200	39	24	2	2678	182	29	4	2	5
ūdens	4134	-5.35	4	5	34	31	27	17	14	6739	209	51	5	3	5
ne	4119	-2.87	42	48	885	248	248	248	248	541	64	64	64	64	2
iedzīvotāju	4104	-8.25	0	0	1355	481	28	7	6	2678	315	47	37	12	11
miris	4080	-6.33	6	6	1122	187	10	1	1	6739	564	45	2	2	5
aptuveni	4026	-9.19	0	0	1765	361	12	6	1	1853	134	35	2	1	8
komandas	4025	-7.24	0	1	1352	417	92	13	13	6739	2053	69	13	4	8
šīs	4020	-6.24	6	7	165	3	1	1	1	6739	14	1	1	1	3
čempionātā	4016	-10.42	0	0	66	41	17	17	17	1307	143	15	4	1	10
bez	3959	-5.64	4	6	782	88	17	17	17	58	1	1	1	1	3
pasaulē	3911	-8.92	4	4	2243	628	74	14	5	222	24	4	2	2	7
gads	3890	-4.49	20	22	540	206	26	9	9	6739	99	9	1	1	4
vieta	3856	-4.73	14	17	1160	423	138	25	3	3215	456	20	6	3	5
futbola	3856	-7.86	6	6	358	18	9	9	9	3215	150	24	5	2	7
mūsdienās	3815	-8.9	0	0	1122	31	6	4	4	6739	650	97	11	6	9
dziesmu	3814	-7.12	4	4	1082	182	87	24	7	2678	247	12	5	4	7
nosaukums	3789	-7.49	0	0	885	464	71	26	18	6739	236	163	19	8	9
bijis	3786	-6.33	0	0	782	96	16	1	1	6739	564	61	1	1	5
daļā	3770	-4.27	10	12	1082	224	14	3	3	1307	16	13	10	10	4
tautas	3759	-6.52	2	3	832	101	23	13	6	6739	2053	188	4	3	6
padomju	3751	-7.62	0	0	2243	628	19	10	8	2678	315	9	2	2	7
vācijas	3734	-4.78	4	5	1160	57	16	12	5	6739	2053	484	371	118	7
otrā	3725	-6.28	8	9	294	22	19	3	3	1307	69	6	1	1	4
polijas	3654	-5.36	2	3	2243	152	53	39	5	6739	2053	484	371	18	7
t	3649	-4.3	0	20	832	832	832	832	832	684	684	684	684	684	1
teritorijā	3609	-9.16	0	0	832	151	30	14	14	1307	290	142	21	6	10
izlases	3608	-7.32	4	5	1355	554	26	18	7	6739	847	23	7	4	7
sugas	3596	-5.67	10	11	2001	47	5	3	1	6739	2053	75	3	2	5
atradās	3569	-7.26	0	0	1765	456	28	19	8	6739	650	16	3	3	7
tiem	3561	-3.75	6	7	832	123	38	1	1	1190	576	563	71	71	4
gadus	3549	-5.44	4	6	540	206	26	2	1	6739	339	22	2	1	5
savas	3537	-4.03	20	23	2001	574	60	8	1	6739	2053	102	50	3	5
mūzikas	3531	-6.52	2	3	1122	31	12	12	5	6739	2053	147	52	5	7
hokeja	3514	-6.33	6	6	194	41	9	8	8	3215	674	26	1	1	6
grupa	3485	-7.03	4	6	540	136	14	8	3	3215	38	2	2	2	5
izmanto	3467	-6.68	0	1	1355	554	54	32	21	535	89	8	4	3	7
šis	3467	-5.65	12	14	165	9	1	1	1	6739	564	1	1	1	3
līgas	3462	-4.67	8	9	858	115	15	4	1	6739	2053	75	28	7	5
valodā	3461	-7.15	4	6	1160	270	75	9	9	1307	40	4	2	2	6
dzīvo	3460	-4.72	12	13	1082	182	51	51	24	535	17	11	5	5	5
reizes	3442	-6.79	4	5	759	269	19	8	2	6739	847	47	2	1	6
spēlēs	3442	-5.61	6	8	2001	168	63	25	19	6739	44	3	3	3	6
sākās	3409	-4.69	4	5	2001	50	28	1	1	6739	650	84	26	4	5
beigās	3402	-6.82	4	4	782	88	21	10	2	6739	650	21	1	1	6
tai	3399	-4.36	14	17	832	101	13	13	13	1853	193	10	10	10	3
savā	3391	-4.68	10	13	2001	574	60	7	7	1307	32	9	1	1	4
veido	3385	-4.82	10	12	1160	214	93	45	37	535	25	8	5	5	5
valodas	3359	-6.92	4	5	1160	270	75	9	9	6739	2053	69	13	1	7
reizi	3352	-6.56	6	7	759	269	19	8	2	1853	27	4	3	3	5
vairākas	3327	-7.99	0	0	1160	270	41	30	16	6739	2053	147	13	3	8
kuri	3305	-5.17	16	19	1352	93	37	4	4	1853	121	13	1	1	4
cilvēku	3300	-8.73	6	7	330	104	22	11	11	2678	182	8	1	1	7
rezultātā	3292	-9.2	0	0	759	269	26	13	13	1307	143	15	2	1	9
romas	3267	-5.62	16	18	759	85	19	6	1	6739	2053	73	8	2	5
upes	3229	-4.93	6	7	326	21	3	1	1	6739	847	22	8	8	4
pagastā	3228	-7.16	10	10	2243	628	30	21	10	1307	143	23	3	1	7
krievu	3223	-5.82	2	2	1352	178	75	11	10	2678	60	9	5	3	6
skaits	3201	-6.37	6	9	2001	144	73	31	20	6739	502	9	3	1	6
amerikāņu	3194	-9.8	0	0	1765	38	10	10	10	2678	141	22	7	6	9
ziemeļu	3193	-6.97	2	3	374	137	48	35	27	2678	93	14	1	1	7
visas	3186	-5.31	14	19	1160	423	75	9	1	6739	2053	41	6	1	5
ii	3164	-4.03	54	58	1355	3	3	3	3	1853	9	9	9	9	2
viņam	3163	-5.79	8	9	1160	423	12	5	1	1190	167	2	2	2	5
salas	3119	-4.89	12	17	2001	574	33	7	2	6739	2053	78	14	7	5
gaisa	3107	-6.35	14	16	540	206	28	10	2	3215	82	12	4	3	5
izcīnīja	3100	-7.31	0	0	1355	554	34	15	12	3215	674	82	6	2	8
iespējams	3097	-8.25	0	0	1355	481	70	22	16	6739	236	27	8	1	9
citu	3066	-5.25	16	19	330	104	18	3	3	2678	365	11	1	1	4
ezers	3050	-6.43	8	10	312	9	9	9	1	6739	203	58	4	3	5
de	3050	-3.23	50	59	1082	170	170	170	170	541	40	40	40	40	2
tāpēc	3044	-8.45	2	2	832	38	2	1	1	45	3	3	2	1	5
gandrīz	3031	-8.89	0	0	540	206	7	1	1	58	2	2	2	1	7
vietas	3023	-5.19	14	15	1160	423	138	25	3	6739	2053	188	12	8	6
pagasts	3015	-6.89	10	12	2243	628	30	21	10	6739	502	83	6	1	7
gs	3011	-4.3	34	38	540	2	2	2	2	6739	76	76	76	76	2
dzimtas	2997	-6.09	6	7	1082	182	87	33	16	6739	2053	188	3	2	7
dienas	2976	-5.11	8	9	1082	214	71	46	3	6739	2053	319	28	20	6
pirmajā	2969	-6.8	0	2	2243	442	36	25	8	1307	290	102	3	1	7
impērijas	2951	-9.02	0	0	1355	24	17	5	5	6739	2053	484	371	45	9
pašlaik	2943	-9.59	0	0	2243	628	32	1	1	105	6	3	3	1	7
pilsētā	2935	-6.38	4	6	2243	442	78	38	14	1307	143	12	4	3	7
lietuvas	2933	-7.18	0	1	858	283	158	46	13	6739	2053	102	3	2	8
galvenokārt	2932	-12.22	0	0	540	206	58	23	13	684	25	10	10	1	11
nebija	2927	-6.23	2	2	885	248	5	1	1	3215	674	233	7	2	6
notiek	2923	-6.39	2	2	885	464	55	23	4	105	14	10	7	2	6
gadsimtā	2920	-9.42	0	0	540	206	26	9	8	1307	143	4	3	1	8
kultūras	2919	-7.21	0	1	1352	93	14	11	8	6739	2053	99	25	15	8
baznīcas	2914	-8.14	0	1	782	206	9	7	7	6739	2053	22	8	8	8
armijas	2903	-6.99	2	4	1765	96	10	5	5	6739	2053	484	371	14	7
dzelzceļa	2892	-8.85	0	0	1082	182	40	17	8	3215	53	10	3	1	9
izveidoja	2839	-6.3	0	0	1355	554	80	38	37	3215	674	79	8	6	9
sauc	2831	-5.01	0	1	2001	574	43	9	9	45	5	5	3	3	4
pilsētu	2828	-6.3	4	4	2243	442	78	38	14	2678	365	23	4	3	7
teritoriju	2816	-9.27	0	0	832	151	30	14	14	2678	315	175	25	4	10
rietumu	2808	-7.01	2	3	759	72	21	14	14	2678	247	176	11	4	7
baltijas	2802	-7.25	0	0	782	206	63	26	9	6739	2053	484	371	14	8
nosaukumu	2799	-7.57	0	0	885	464	71	26	18	2678	247	176	22	7	9
cilvēki	2775	-8.89	8	8	330	104	22	11	11	1853	125	3	1	1	7
decembrī	2753	-10.87	0	0	1082	170	5	5	5	79	20	4	3	3	8
janvārī	2746	-11.32	4	4	295	109	10	5	5	79	20	5	2	1	7
mākslas	2733	-7.11	2	3	1122	90	28	23	23	6739	2053	78	4	1	7
viņi	2731	-4.63	14	17	1160	423	12	2	2	1853	48	6	3	3	4
novembrī	2728	-9.73	0	0	885	464	65	10	5	79	20	4	3	3	8
austrumu	2719	-7.34	0	0	1765	216	33	26	26	2678	247	176	13	5	8
pils	2719	-3.48	24	27	2243	442	78	38	38	6739	129	30	13	13	4
īpaši	2719	-5.0	10	11	92	40	40	31	2	1853	75	3	2	1	5
cm	2711	-4.55	36	40	330	2	2	2	2	1190	1	1	1	1	2
komanda	2706	-6.81	4	6	1352	417	92	13	13	3215	148	13	3	1	7
zelta	2699	-5.73	12	12	374	73	5	5	2	3215	456	15	9	1	5
gadiem	2698	-5.61	6	6	540	206	26	2	1	1190	576	563	20	3	6
tādēļ	2689	-7.19	2	2	832	38	14	2	1	9	3	3	2	1	5
centra	2671	-6.0	10	11	330	108	43	37	27	3215	253	21	1	1	6
pagastu	2670	-6.89	10	11	2243	628	30	21	10	2678	365	73	8	1	7
maijā	2669	-6.08	6	7	1122	330	42	5	1	1307	290	142	1	1	5
jūnijā	2664	-6.35	8	8	295	38	5	5	5	1307	290	142	16	1	6
darbu	2662	-5.09	8	10	1082	224	47	35	2	2678	148	4	2	2	5
francijas	2658	-7.48	0	0	358	63	32	25	12	6739	2053	484	371	118	9
partijas	2653	-6.62	0	1	2243	628	105	15	9	6739	2053	484	371	14	8
jūlijā	2651	-6.21	8	8	295	38	5	5	5	1307	290	142	11	1	6
darba	2635	-5.43	8	11	1082	224	47	35	4	3215	124	3	2	2	5
kluba	2615	-6.44	8	10	1352	95	15	9	2	3215	124	2	1	1	5
tos	2589	-4.0	16	20	832	58	2	2	2	6739	288	37	37	37	3
citiem	2585	-6.29	0	0	330	104	18	2	1	1190	576	563	71	3	6
martā	2576	-6.1	6	6	1122	330	52	10	1	1307	143	11	3	1	5
septembrī	2575	-10.17	0	0	2001	222	23	23	5	79	20	4	3	3	9
kurzemes	2575	-8.76	0	1	1352	93	37	4	4	6739	847	55	15	12	8
oktobrī	2565	-9.84	2	2	294	30	4	4	4	79	20	4	1	1	7
šeit	2565	-7.54	0	0	165	6	1	1	1	684	23	1	1	1	4
teritorijas	2556	-8.93	0	0	832	151	30	14	14	6739	2053	484	371	45	11
krastā	2554	-6.52	10	10	1352	178	24	13	11	1307	143	23	3	2	6
valoda	2542	-6.49	4	7	1160	270	75	9	9	3215	148	10	1	1	6
v	2536	-4.3	0	13	1160	1160	1160	1160	1160	32	32	32	32	32	1
liela	2531	-5.65	16	20	858	283	158	87	13	3215	150	14	6	2	5
livonijas	2506	-9.51	0	0	858	283	6	3	3	6739	2053	484	371	35	9
ezera	2505	-6.76	8	9	312	9	9	9	2	3215	253	47	5	3	5
izlase	2503	-7.36	4	6	1355	554	26	18	7	541	20	7	4	1	6
ordeņa	2502	-7.9	0	0	294	81	8	6	2	3215	67	5	1	1	6
albums	2498	-6.56	8	10	1765	101	20	9	9	6739	236	163	2	1	6
d	2492	-4.3	0	22	1082	1082	1082	1082	1082	94	94	94	94	94	1
spēlēja	2489	-5.65	2	2	2001	168	63	25	19	3215	674	141	11	5	7
mūsdienu	2476	-8.31	0	0	1122	31	6	4	4	2678	262	37	26	6	8
sporta	2476	-6.09	10	12	2001	168	21	14	12	3215	456	29	8	6	6
augustā	2475	-6.79	6	7	1765	216	96	12	7	1307	143	23	3	1	7
pieder	2470	-6.45	0	0	2243	442	307	51	16	114	39	6	2	2	6
lielu	2457	-5.5	16	18	858	283	158	87	10	2678	119	12	10	2	5
varētu	2449	-6.39	0	0	1160	270	44	3	1	2678	365	23	7	2	6
sastāv	2442	-6.91	2	7	2001	574	69	31	18	32	6	6	6	3	6
uzvarēja	2437	-7.26	0	0	326	227	24	18	18	3215	674	141	21	7	8
sistēmas	2434	-8.33	0	1	2001	148	16	15	7	6739	2053	73	6	3	8
visā	2431	-5.55	10	12	1160	423	75	3	3	1307	27	4	1	1	4
divi	2425	-4.97	2	3	1082	214	24	3	3	1853	48	1	1	1	4
garums	2415	-5.98	8	9	540	206	52	7	5	6739	236	163	11	2	6
stacijas	2407	-6.04	0	1	2001	275	102	7	7	6739	2053	484	371	118	8
beigām	2402	-7.29	2	2	782	88	21	10	2	1190	284	7	1	1	6
sākotnēji	2393	-9.59	0	0	2001	50	28	8	8	1853	61	16	2	1	9
pirmās	2390	-5.89	2	4	2243	442	36	25	2	6739	650	24	2	1	6
pusē	2387	-5.69	4	6	2243	113	30	3	3	222	16	7	7	7	4
iedzīvotāji	2386	-8.78	0	0	1355	481	28	7	6	1853	61	31	26	12	11
baznīca	2374	-7.73	4	6	782	206	9	7	7	3215	50	6	6	1	7
fon	2371	-4.65	12	16	358	55	8	8	8	101	28	1	1	1	3
vidū	2370	-5.71	8	8	1160	423	44	1	1	9	3	2	2	2	4
visi	2367	-4.96	14	17	1160	423	75	4	4	1853	86	5	1	1	4
februārī	2365	-11.0	0	0	358	36	5	5	5	79	20	5	1	1	8
kuriem	2363	-5.83	6	7	1352	93	37	4	2	1190	576	563	46	5	6
b	2363	-4.3	0	14	782	782	782	782	782	17	17	17	17	17	1
dzīves	2362	-5.47	4	6	1082	182	51	51	9	6739	847	30	3	2	6
tiesības	2360	-7.05	0	0	832	123	38	17	4	6739	2053	172	159	4	8
vairāki	2354	-7.87	2	3	1160	270	41	30	16	1853	125	7	2	1	7
dienvidu	2354	-7.79	0	0	1082	214	71	46	28	2678	98	11	5	1	8
ciema	2338	-5.86	12	13	330	104	39	14	7	3215	260	9	8	6	5
angļu	2316	-6.04	4	4	1765	85	14	3	1	2678	93	8	1	1	5
lielā	2316	-5.47	12	15	858	283	158	87	24	1307	88	4	3	2	5
uzsāka	2305	-5.47	2	4	326	227	53	11	10	3215	185	18	6	2	6
virs	2293	-3.93	6	10	1160	423	70	43	43	6739	203	5	1	1	4
citi	2289	-5.36	12	15	330	104	18	2	2	1853	318	10	1	1	4
aprīlī	2275	-8.89	2	2	1765	361	45	11	4	79	14	1	1	1	6
dziesmas	2272	-7.3	0	1	1082	182	87	24	7	6739	2053	73	9	5	8
citas	2272	-5.74	12	15	330	104	18	4	1	6739	2053	188	12	1	5
of	2269	-4.64	14	17	294	14	14	14	14	14	2	2	2	2	2
muižas	2266	-5.22	4	5	1122	65	15	14	3	6739	2053	28	6	5	6
dienvidos	2254	-8.55	0	0	1082	214	71	46	28	6739	288	13	3	2	9
dzīvoja	2250	-5.0	0	0	1082	182	51	51	24	3215	674	79	12	7	7
tieši	2248	-5.3	12	13	832	123	38	13	2	1853	75	18	14	4	5
universitātes	2241	-14.48	0	0	326	31	20	11	11	6739	847	98	19	16	13
lieto	2240	-5.15	10	11	858	283	158	46	26	535	89	9	7	3	5
uzskata	2232	-6.42	8	8	326	227	53	19	19	3215	456	21	6	6	7
devās	2230	-5.78	6	6	1082	170	22	1	1	6739	650	17	4	4	5
britu	2227	-5.35	6	7	782	144	18	5	1	2678	365	11	1	1	5
ieņēma	2225	-6.04	0	1	1355	481	13	5	5	3215	260	22	11	2	6
klubu	2222	-5.91	8	10	1352	95	15	9	2	2678	148	3	1	1	5
vien	2219	-4.67	0	6	1160	423	138	78	78	101	26	5	3	3	4
karjeru	2211	-7.13	6	6	1352	372	114	5	5	2678	227	40	4	3	7
olimpiskajās	2193	-11.25	0	0	294	25	14	12	12	6739	650	153	13	4	12
vēlēšanās	2191	-6.84	0	0	1160	115	28	8	5	6739	650	97	58	57	9
atkal	2186	-6.28	0	0	1765	456	48	9	1	76	18	1	1	1	5
e	2185	-4.3	0	21	312	312	312	312	312	541	541	541	541	541	1
vecumā	2182	-6.7	6	6	1160	214	43	7	6	1307	127	73	1	1	6
ziemeļos	2180	-8.04	0	0	374	137	48	35	27	6739	288	3	1	1	8
nāves	2179	-6.56	2	3	885	40	7	5	3	6739	847	30	3	1	5
nba	2179	-5.23	6	9	885	3	1	1	1	3215	124	2	2	2	3
mājas	2173	-4.78	12	13	1122	90	13	4	3	6739	2053	484	20	1	5
sava	2171	-4.1	16	20	2001	574	60	8	8	3215	92	23	1	1	4
eiropā	2165	-9.16	4	4	312	25	21	19	9	1307	14	7	5	5	6
kopumā	2150	-6.41	4	4	1352	417	49	6	3	1307	127	73	1	1	6
universitātē	2144	-15.19	0	0	326	31	20	11	11	222	28	3	3	2	12
rindās	2142	-7.05	4	5	759	72	6	6	3	6739	650	16	4	2	6
franču	2130	-6.89	6	6	358	63	32	25	5	2678	24	8	2	1	6
vācijā	2129	-5.01	4	4	1160	57	16	12	5	1307	290	142	28	14	6
