word	count	prob	mps	neighbors	s1	s2	s3	s4	s5	e1	e2	e3	e4	e5	length
در	826421	-2.96	68	94	909	184	184	184	184	1337	51	51	51	51	2
و	807318	-4.3	0	35	435	435	435	435	435	399	399	399	399	399	1
به	556997	-2.84	74	98	1387	60	60	60	60	2031	76	76	76	76	2
از	502685	-3.62	56	73	1939	28	28	28	28	307	66	66	66	66	2
است	458343	-3.09	50	65	1939	282	137	137	137	1252	132	40	40	40	3
می	343514	-2.58	88	122	2145	196	196	196	196	4404	179	179	179	179	2
که	328609	-3.27	78	97	1022	18	18	18	18	2031	43	43	43	43	2
این	325749	-3.66	70	87	1939	146	32	32	32	2368	443	19	19	19	3
را	215035	-3.33	72	106	675	133	133	133	133	940	90	90	90	90	2
با	207123	-3.3	64	98	1387	343	343	343	343	940	22	22	22	22	2
های	204138	-3.07	64	82	542	89	16	16	16	4404	567	357	357	357	3
آن	181194	-3.41	70	82	646	77	77	77	77	2368	9	9	9	9	2
سال	155195	-3.67	60	75	1010	181	23	23	23	745	182	14	14	14	3
شده	129332	-4.14	32	36	577	17	1	1	1	2031	320	7	7	7	3
یک	122481	-3.22	64	84	213	32	32	32	32	419	142	142	142	142	2
ایران	112385	-5.34	30	36	1939	146	20	9	7	2368	1181	171	17	2	5
دارد	104686	-4.45	32	41	909	200	40	2	2	1294	146	34	6	6	4
ها	92824	-2.99	58	79	542	89	89	89	89	940	202	202	202	202	2
برای	91172	-4.19	66	74	1387	252	42	5	5	4404	567	34	2	2	4
قرار	86038	-5.19	8	11	339	54	22	16	16	1337	362	11	4	4	4
شد	83810	-3.54	68	82	577	17	17	17	17	1294	18	18	18	18	2
شود	82012	-4.1	60	71	577	53	2	2	2	1294	107	7	7	7	3
بوده	81623	-4.45	36	41	1387	95	15	1	1	2031	320	24	3	3	4
بود	79850	-3.73	68	83	1387	95	15	15	15	1294	107	7	7	7	3
ای	70491	-2.54	92	131	1939	146	146	146	146	4404	567	567	567	567	2
او	65468	-3.71	84	113	1939	109	109	109	109	399	13	13	13	13	2
بر	61688	-2.84	74	113	1387	252	252	252	252	1337	56	56	56	56	2
جمعیت	61482	-5.73	2	6	471	26	8	4	3	1252	177	13	3	2	5
باشد	61063	-5.24	20	26	1387	343	16	3	3	1294	18	5	4	4	4
یا	60679	-3.46	62	85	213	59	59	59	59	940	92	92	92	92	2
دهستان	60675	-6.54	10	12	909	44	3	3	3	2368	1181	92	73	4	6
نفر	59767	-4.79	44	50	898	19	6	6	6	1337	25	3	3	3	3
یکی	56472	-4.11	28	35	213	32	1	1	1	4404	123	33	33	33	3
روستا	56212	-5.55	6	9	675	187	22	13	12	940	44	6	2	1	5
تا	55685	-3.3	60	87	1030	138	138	138	138	940	44	44	44	44	2
کرد	54845	-3.58	62	73	1022	114	18	18	18	1294	146	7	7	7	3
مرکز	53932	-5.3	6	10	2145	147	10	5	5	307	6	4	4	4	4
خود	53143	-3.48	46	55	478	145	28	28	28	1294	107	3	3	3	3
سرشماری	52692	-7.51	0	0	1010	190	8	1	1	4404	564	208	11	4	7
عنوان	50417	-5.65	0	3	387	19	2	2	2	2368	1181	57	4	3	5
نام	49771	-3.58	64	76	898	196	43	43	43	673	140	12	12	12	3
خانوار	49167	-6.79	0	1	478	86	18	4	4	1337	362	33	3	2	6
براساس	46654	-7.71	0	0	1387	252	42	1	1	478	84	4	2	1	6
آمار	46321	-4.89	22	25	646	72	12	6	6	1337	362	18	1	1	4
کند	45525	-3.7	58	74	1022	69	8	8	8	1294	384	9	9	9	3
بخش	43685	-4.13	16	21	1387	34	12	12	12	391	6	2	2	2	3
نیز	43198	-4.61	40	48	898	110	3	3	3	307	67	5	5	5	3
ثبت	42981	-4.56	2	7	26	4	1	1	1	1252	31	2	2	2	3
شهرستان	41078	-6.33	0	1	577	64	40	5	4	2368	1181	92	73	17	7
تاریخ	40550	-6.3	4	7	1030	138	16	7	4	48	12	5	3	1	5
واقع	40539	-6.07	2	6	435	112	6	5	5	134	4	3	3	3	4
دو	38405	-3.18	70	92	909	129	129	129	129	399	30	30	30	30	2
شهر	38206	-3.55	34	43	577	64	40	40	40	1337	51	18	18	18	3
پس	37178	-3.63	52	62	748	25	25	25	25	478	8	8	8	8	2
استفاده	34647	-7.56	0	0	1939	282	137	5	3	2031	320	35	2	2	7
ملی	34354	-3.88	66	83	2145	50	6	6	6	4404	276	10	10	10	3
هم	32862	-3.03	64	83	542	112	112	112	112	673	34	34	34	34	2
وی	32421	-2.97	76	111	435	80	80	80	80	4404	144	144	144	144	2
پیش	31492	-3.3	44	50	748	150	42	42	42	391	71	2	2	2	3
خورشیدگرفتگی	31127	-12.47	0	0	478	145	25	4	3	4404	129	24	6	3	12
زمان	29734	-4.27	24	29	276	21	9	7	7	2368	1181	87	10	10	4
فرودگاه	29267	-7.29	2	3	609	223	32	4	2	2031	129	73	5	1	7
اثر	29135	-4.12	18	24	1939	12	8	8	8	1337	11	4	4	4	3
سیارک	28491	-6.32	4	6	1010	153	32	5	1	419	48	20	1	1	5
اند	28011	-3.49	52	63	1939	206	44	44	44	1294	384	44	44	44	3
دیگر	27400	-5.63	12	17	909	120	7	4	4	1337	49	4	3	3	4
آثار	27378	-5.02	12	14	646	4	4	4	4	1337	362	3	1	1	4
کشور	27302	-4.69	10	14	1022	49	8	8	8	1337	218	8	1	1	4
توسط	27282	-5.72	4	7	1030	143	8	1	1	62	6	3	2	2	4
هر	27130	-3.21	68	91	542	57	57	57	57	1337	51	51	51	51	2
استان	26740	-3.82	26	33	1939	282	137	35	13	2368	1181	92	73	3	5
روی	26423	-3.58	72	101	675	187	27	27	27	4404	144	25	25	25	3
زیر	26379	-4.1	50	59	276	65	24	24	24	1337	143	4	4	4	3
دوره	25920	-4.71	32	37	909	129	20	2	2	2031	174	17	2	2	4
زبان	25635	-4.77	8	12	276	14	9	8	8	2368	1181	38	4	4	4
صورت	25197	-5.44	14	19	169	15	7	5	5	1252	91	18	4	4	4
بین	24589	-3.43	84	97	1387	145	15	15	15	2368	443	15	15	15	3
میلادی	24577	-6.76	2	3	2145	196	24	7	2	4404	286	59	2	1	6
وجود	24089	-5.55	6	12	435	9	5	2	2	1294	107	5	4	4	4
کرده	24084	-4.11	34	40	1022	114	18	3	3	2031	320	41	5	5	4
کار	24025	-2.96	74	95	1022	302	113	113	113	1337	362	33	33	33	3
شماره	24001	-5.75	8	10	577	34	16	8	1	2031	174	47	2	1	5
مربوط	23965	-7.25	0	1	2145	147	8	2	2	62	9	1	1	1	5
کنند	22775	-3.93	14	18	1022	69	4	4	4	1294	384	28	4	4	4
رسیده	22736	-5.6	2	6	675	51	8	6	1	2031	320	55	4	3	5
داد	22382	-3.63	52	64	909	200	17	17	17	1294	179	31	31	31	3
هستند	22118	-5.77	8	8	542	9	7	1	1	1294	384	46	15	1	5
آباد	21890	-4.39	12	15	646	44	8	7	7	1294	179	54	46	46	4
مورد	21808	-4.41	40	46	2145	197	27	5	5	1294	146	33	2	2	4
اما	21807	-4.45	30	44	1939	105	17	17	17	940	61	15	15	15	3
داشته	21744	-5.06	8	10	909	200	10	7	1	2031	140	26	10	4	5
آنها	20605	-4.95	12	14	646	77	5	3	3	940	202	19	1	1	4
داده	20178	-4.33	30	32	909	200	17	1	1	2031	320	35	2	2	4
میلاد	19694	-6.16	6	8	2145	196	24	7	2	1294	179	6	1	1	5
سه	19666	-3.35	70	82	1010	17	17	17	17	2031	32	32	32	32	2
آمریکا	19625	-8.0	4	5	646	72	7	7	7	940	31	11	3	2	6
بازی	19578	-3.73	44	50	1387	343	84	14	14	4404	131	57	6	6	4
همچنین	19522	-6.92	6	8	542	112	6	3	1	2368	443	21	4	2	6
تپه	19288	-5.0	18	21	1030	4	1	1	1	2031	8	1	1	1	3
روستای	19163	-6.0	6	10	675	187	22	13	12	4404	567	10	3	2	6
فیلم	19044	-5.33	8	11	609	72	28	12	12	673	30	2	1	1	4
دارای	18888	-5.11	10	17	909	200	40	11	2	4404	567	34	2	2	5
دانشگاه	18420	-6.94	0	2	909	200	51	25	6	2031	129	73	18	1	7
شوند	18260	-4.93	12	18	577	53	3	2	2	1294	384	35	5	5	4
مرکزی	18224	-5.64	2	5	2145	147	10	5	2	4404	131	1	1	1	5
طول	18072	-4.49	46	50	137	18	3	3	3	745	113	4	4	4	3
شرکت	17856	-5.86	12	14	577	46	7	4	4	1252	24	5	1	1	4
گروه	17640	-5.29	20	26	561	153	16	8	8	2031	62	4	3	3	4
کتاب	17543	-5.3	12	17	1022	26	15	14	14	354	120	12	2	2	4
دست	17489	-3.72	38	46	909	43	38	38	38	1252	132	8	8	8	3
آب	17081	-3.81	42	48	646	44	44	44	44	354	7	7	7	7	2
توان	16987	-3.91	28	43	1030	143	26	16	16	2368	1181	57	7	7	4
دهد	16712	-5.07	36	43	909	44	4	4	4	1294	26	4	4	4	3
داشت	16601	-4.52	8	15	909	200	10	7	7	1252	69	17	11	11	4
هایی	16459	-3.54	34	42	542	89	16	1	1	4404	251	215	36	36	4
بعد	16378	-4.49	18	24	1387	18	7	7	7	1294	14	2	2	2	3
ساعت	16243	-4.92	22	26	1010	181	7	3	3	1252	22	7	1	1	4
نوع	16217	-4.09	24	28	898	130	3	3	3	134	17	4	4	4	3
ی	16039	-4.3	0	42	213	213	213	213	213	4404	4404	4404	4404	4404	1
گرفته	15993	-4.9	6	10	561	153	8	8	1	2031	140	25	10	5	5
منطقه	15933	-5.19	4	5	2145	143	5	4	1	2031	27	2	2	2	5
نظر	15868	-3.69	24	32	898	26	12	12	12	1337	15	10	10	10	3
انجام	15755	-6.26	2	5	1939	206	15	5	4	673	140	6	2	2	5
بی	15642	-2.62	84	120	1387	145	145	145	145	4404	142	142	142	142	2
مانند	15589	-4.89	4	9	2145	231	26	3	2	1294	384	28	17	3	5
قنات	15254	-5.34	4	8	339	11	4	1	1	1252	347	19	1	1	4
بزرگ	15039	-4.54	2	5	1387	32	18	18	18	169	29	4	4	4	4
دوران	14761	-5.04	26	30	909	129	20	4	2	2368	1181	171	26	2	5
بیشتر	14544	-6.42	8	9	1387	145	10	4	4	1337	114	9	4	1	5
برابر	14426	-6.06	6	10	1387	252	42	2	2	1337	56	14	4	3	5
ترین	14253	-4.19	28	34	1030	126	15	3	3	2368	443	78	41	41	4
بسیار	14238	-6.49	4	6	1387	39	5	2	2	1337	362	24	2	1	5
سیستم	13896	-6.17	6	7	1010	153	12	8	6	673	25	9	4	2	5
دارند	13838	-5.19	8	13	909	200	40	4	3	1294	384	34	10	5	5
formula_	13780	-8.43	0	0	53	8	6	2	1	7	1	1	1	1	8
تولید	13714	-5.88	8	12	1030	143	17	8	6	1294	197	8	3	2	5
سطح	13667	-4.76	4	7	1010	6	2	2	2	68	3	3	3	3	3
برنامه	13650	-6.69	0	0	1387	252	13	3	1	2031	92	37	26	4	6
میان	13584	-4.05	38	52	2145	196	18	11	11	2368	1181	171	13	13	4
اول	13527	-3.94	74	91	1939	109	15	15	15	745	113	12	12	12	3
مردم	13512	-5.56	16	20	2145	147	20	6	6	673	22	2	1	1	4
روز	13448	-3.79	44	54	675	187	19	19	19	307	48	19	19	19	3
اولین	13390	-5.45	10	12	1939	109	15	6	1	2368	443	22	6	1	5
جهانی	13344	-5.8	8	11	471	22	14	10	2	4404	484	274	11	1	5
شکل	13180	-4.72	20	27	577	38	3	3	3	745	24	5	5	5	3
راه	13140	-4.13	52	60	675	133	21	21	21	2031	129	10	10	10	3
متر	13072	-3.62	40	48	2145	143	17	17	17	1337	114	10	10	10	3
ایالات	12998	-7.19	2	4	1939	146	7	4	1	1252	347	43	11	2	6
تهران	12933	-6.91	8	9	1030	17	2	2	2	2368	1181	171	5	1	5
اصلی	12911	-4.55	22	27	1939	36	12	2	2	4404	276	5	1	1	4
زمین	12870	-4.8	20	24	276	21	4	4	4	2368	443	61	3	3	4
اشاره	12867	-5.96	6	7	1939	66	5	3	1	2031	174	47	2	1	5
نمی	12861	-4.5	40	50	898	57	3	3	3	4404	179	1	1	1	3
مجموعه	12839	-7.52	2	3	2145	62	5	3	3	2031	28	4	3	3	6
شامل	12798	-5.68	20	23	577	105	8	2	2	745	29	11	1	1	4
بودند	12705	-5.45	6	8	1387	95	15	3	1	1294	384	49	6	2	5
بار	12599	-3.28	92	114	1387	343	42	42	42	1337	362	24	24	24	3
تواند	12580	-5.07	8	13	1030	143	26	16	1	1294	384	44	7	4	5
کردند	12562	-5.1	8	11	1022	114	18	3	1	1294	384	49	13	3	5
کشف	12547	-5.29	14	17	1022	49	2	2	2	182	2	1	1	1	3
حال	12497	-4.1	44	56	278	44	10	10	10	745	182	9	9	9	3
wikipedia	12281	-8.24	0	0	39	11	3	3	1	69	14	6	4	2	9
متحده	12202	-6.08	0	1	2145	143	7	4	1	2031	320	1	1	1	5
علی	12190	-3.47	46	61	387	48	12	12	12	4404	276	21	21	21	3
چند	12153	-3.6	36	39	234	29	15	15	15	1294	384	2	2	2	3
ولی	12139	-3.88	58	75	435	31	7	7	7	4404	276	37	37	37	3
برخی	12018	-5.41	32	33	1387	252	15	1	1	4404	15	3	1	1	4
گرفت	11669	-4.43	6	13	561	153	8	8	8	1252	53	13	5	5	4
توابع	11516	-7.02	0	2	1030	143	26	2	2	134	10	3	1	1	5
کردن	11480	-4.48	28	34	1022	114	18	3	3	2368	95	19	5	5	4
باند	11461	-4.15	38	48	1387	343	21	4	4	1294	384	44	2	2	4
شیمیایی	11327	-7.84	4	4	577	69	5	4	2	4404	251	215	29	3	7
خانه	11270	-4.19	30	34	478	86	18	1	1	2031	242	137	23	23	4
انگلیسی	11268	-8.31	0	1	1939	206	22	8	4	4404	149	19	2	1	7
رود	11251	-3.6	72	87	675	187	16	16	16	1294	107	31	31	31	3
شرقی	11208	-4.93	18	20	577	46	3	1	1	4404	63	8	3	3	4
محمد	11071	-3.98	2	6	2145	116	28	22	22	1294	33	7	4	4	4
اگر	11058	-4.94	26	28	1939	6	3	3	3	1337	49	3	3	3	3
زندگی	11043	-5.14	2	6	276	39	12	5	3	4404	129	43	17	3	5
تنها	10975	-5.32	4	5	1030	57	3	2	2	940	202	19	1	1	4
همراه	10940	-6.37	2	5	542	112	6	5	5	2031	129	10	3	2	5
حدود	10915	-5.28	2	6	278	13	3	3	3	1294	107	9	4	4	4
سازمان	10907	-5.54	0	3	1010	181	22	5	5	2368	1181	87	10	2	6
دوم	10893	-4.07	54	61	909	129	8	8	8	673	74	4	4	4	3
جنگ	10889	-3.77	36	43	471	50	16	16	16	169	110	1	1	1	3
ممکن	10874	-5.94	4	4	2145	20	1	1	1	2368	32	3	3	3	4
تاریخی	10841	-7.33	2	3	1030	138	16	7	4	4404	15	5	1	1	6
تشکیل	10730	-6.48	0	1	1030	24	6	3	3	745	139	3	1	1	5
روستایی	10716	-6.47	4	5	675	187	22	13	12	4404	251	215	8	3	7
طور	10670	-4.07	50	56	137	18	4	4	4	1337	218	9	9	9	3
ایجاد	10658	-6.61	6	6	1939	146	4	2	1	1294	179	3	1	1	5
جنوب	10639	-5.27	6	9	471	50	5	3	3	354	46	2	1	1	4
سی	10629	-2.66	80	112	1010	153	153	153	153	4404	149	149	149	149	2
آغاز	10616	-5.07	6	9	646	11	7	4	4	307	66	4	2	2	4
بسیاری	10600	-6.94	0	1	1387	39	5	2	2	4404	564	208	14	1	6
جمله	10591	-5.16	4	6	471	26	4	1	1	2031	130	8	3	3	4
تیم	10559	-4.37	48	55	1030	52	11	11	11	673	149	7	7	7	3
شدن	10553	-4.3	28	35	577	17	4	4	4	2368	95	2	2	2	3
جهان	10475	-5.04	12	16	471	22	14	10	10	2368	1181	34	1	1	4
نشان	10438	-4.48	18	25	898	41	12	8	8	2368	1181	42	5	5	4
باید	10353	-5.02	24	31	1387	343	15	1	1	1294	197	26	2	2	4
اسلام	10347	-5.92	6	11	1939	282	15	7	5	673	140	12	5	2	5
غربی	10154	-4.87	22	25	116	15	5	1	1	4404	142	14	4	4	4
تر	10134	-2.86	70	92	1030	126	126	126	126	1337	114	114	114	114	2
شمال	10067	-5.24	18	24	577	34	16	4	4	745	182	12	2	2	4
گفته	10065	-4.18	14	17	561	15	15	1	1	2031	140	25	3	3	4
رشته	9977	-5.5	16	19	675	12	4	1	1	2031	140	26	3	3	4
مختلف	9926	-5.81	4	6	2145	50	11	4	2	182	21	2	1	1	5
باشند	9890	-5.84	6	9	1387	343	16	2	2	1294	384	9	3	3	5
ساخته	9844	-4.8	14	16	1010	181	15	15	1	2031	140	24	10	1	5
ماه	9784	-3.77	44	55	2145	231	26	26	26	2031	129	9	9	9	3
ترکیب	9755	-6.51	6	8	1030	126	17	6	4	354	46	2	2	2	5
قلعه	9699	-5.79	8	10	339	29	2	1	1	2031	28	2	1	1	4
شاه	9671	-3.69	38	47	577	105	23	23	23	2031	129	14	14	14	3
شدند	9656	-4.92	12	14	577	17	4	1	1	1294	384	49	2	2	4
روش	9655	-4.07	54	62	675	187	13	13	13	391	38	6	6	6	3
http	9638	-5.09	0	1	42	4	2	2	2	42	3	1	1	1	4
گونه	9609	-4.59	26	32	561	96	7	1	1	2031	242	20	10	10	4
همه	9587	-4.83	12	16	542	112	1	1	1	2031	92	1	1	1	3
اساس	9575	-5.41	6	10	1939	282	13	4	4	478	84	4	2	2	4
the	9534	-4.4	2	7	59	18	8	8	8	152	4	1	1	1	3
دلیل	9523	-5.52	20	26	909	36	5	2	2	745	139	10	2	2	4
مدت	9499	-4.23	22	26	2145	74	3	3	3	1252	17	4	4	4	3
کم	9472	-3.48	74	89	1022	52	52	52	52	673	11	11	11	11	2
هزار	9435	-4.86	10	13	542	9	6	6	6	1337	362	20	2	2	4
سازی	9421	-4.05	42	44	1010	181	22	1	1	4404	131	57	22	22	4
دولت	9391	-4.86	10	13	909	129	12	7	7	1252	44	8	1	1	4
شبکه	9374	-5.87	6	8	577	21	2	1	1	2031	43	1	1	1	4
همین	9372	-4.1	20	27	542	112	10	4	4	2368	443	61	14	14	4
اسلامی	9349	-6.56	8	12	1939	282	15	7	5	4404	179	49	7	3	6
فوتبال	9280	-7.81	2	3	609	42	7	3	3	745	182	14	2	1	6
ارتفاع	9268	-7.65	0	1	1939	141	24	3	3	134	26	2	1	1	6
موارد	9238	-5.81	4	8	2145	197	18	2	2	1294	146	34	6	1	5
دی	9216	-2.58	78	111	909	120	120	120	120	4404	286	286	286	286	2
فعالیت	9184	-6.63	4	7	609	15	11	11	7	1252	177	19	2	1	6
بیش	9080	-4.1	58	63	1387	145	10	10	10	391	71	3	3	3	3
وقت	8943	-4.82	12	14	435	7	2	2	2	1252	15	3	3	3	3
جنوبی	8814	-5.75	0	2	471	50	5	3	1	4404	142	27	6	5	5
قبل	8796	-4.65	26	35	339	21	4	4	4	745	32	2	2	2	3
موسیقی	8715	-7.14	0	0	2145	197	21	7	5	4404	63	12	1	1	6
توجه	8711	-5.03	16	21	1030	143	4	2	2	2031	37	8	3	3	4
فارسی	8697	-6.09	12	14	609	77	17	6	1	4404	149	24	6	1	5
یافت	8641	-5.42	6	11	213	59	4	4	4	1252	53	21	5	5	4
همان	8640	-3.96	20	30	542	112	18	9	9	2368	1181	87	4	4	4
نوشته	8535	-5.64	4	5	898	130	13	7	1	2031	140	26	1	1	5
بن	8532	-3.53	72	93	1387	81	81	81	81	2368	10	10	10	10	2
گردد	8524	-4.83	18	23	561	153	33	1	1	1294	20	7	6	6	4
ساخت	8517	-4.54	22	27	1010	181	15	15	15	1252	30	10	2	2	4
نمود	8513	-5.19	12	18	898	57	8	6	6	1294	107	9	2	2	4
گیرد	8464	-5.51	12	17	561	49	11	1	1	1294	146	8	4	4	4
قابل	8462	-5.41	16	21	339	56	6	4	4	745	32	12	6	6	4
تغییر	8444	-7.05	0	1	1030	8	5	5	5	1337	143	1	1	1	5
منتشر	8428	-7.04	2	3	2145	143	17	3	3	1337	7	1	1	1	5
a	8403	-4.3	0	35	86	86	86	86	86	69	69	69	69	69	1
نقش	8387	-4.7	18	24	898	33	6	6	6	391	2	1	1	1	3
زیادی	8349	-6.29	6	8	276	65	10	4	1	4404	286	59	3	1	5
ایرانی	8340	-6.1	6	7	1939	146	20	9	7	4404	484	274	31	4	6
سر	8303	-3.1	70	97	1010	190	190	190	190	1337	23	23	23	23	2
متری	8268	-3.96	24	33	2145	143	17	2	2	4404	564	32	5	5	4
c	8254	-4.3	0	29	91	91	91	91	91	40	40	40	40	40	1
خواهد	8206	-5.58	12	17	478	145	56	15	1	1294	26	10	5	4	5
جمهوری	8193	-7.45	2	3	471	26	4	4	4	4404	564	80	4	1	6
ایالت	8164	-6.7	2	4	1939	146	7	4	3	1252	44	15	1	1	5
تعداد	8150	-5.87	2	4	1030	47	5	3	3	1294	179	31	3	2	5
تمام	8147	-5.31	16	21	1030	37	17	4	4	673	140	12	4	4	4
جهت	7996	-5.11	14	19	471	22	2	2	2	1252	5	1	1	1	3
کد	7993	-4.27	74	86	1022	11	11	11	11	1294	3	3	3	3	2
کننده	7973	-4.61	6	9	1022	69	4	4	1	2031	320	104	16	8	5
نخستین	7956	-6.66	2	3	898	18	4	4	2	2368	443	26	10	1	6
زاده	7952	-4.77	20	24	276	41	6	1	1	2031	320	35	10	10	4
معمولا	7926	-7.1	2	4	2145	122	11	4	4	940	59	13	2	1	6
نسبت	7923	-5.97	4	8	898	24	7	3	3	1252	31	2	1	1	4
کوه	7899	-3.44	52	71	1022	147	19	19	19	2031	62	17	17	17	3
اش	7848	-3.37	58	71	1939	66	66	66	66	391	31	31	31	31	2
باعث	7778	-6.58	0	1	1387	343	2	1	1	35	2	1	1	1	4
نیست	7763	-5.0	20	24	898	110	7	5	5	1252	132	30	7	7	4
بالا	7747	-4.84	22	28	1387	343	41	19	19	940	59	8	1	1	4
تحت	7713	-4.77	18	19	1030	43	2	2	2	1252	14	1	1	1	3
شمالی	7663	-5.73	10	13	577	34	16	4	1	4404	276	70	9	1	5
پی	7643	-3.09	78	99	748	150	150	150	150	4404	25	25	25	25	2
اطلاعات	7628	-8.8	0	1	1939	17	7	6	5	1252	347	20	6	1	7
چون	7595	-4.42	52	57	234	14	2	2	2	2368	282	2	2	2	3
خانواده	7581	-7.99	0	0	478	86	18	4	4	2031	320	35	3	3	7
آلبوم	7538	-6.07	2	4	646	62	11	4	4	673	74	3	2	1	5
اینکه	7538	-6.56	4	7	1939	146	32	4	1	2031	43	4	1	1	5
یعنی	7536	-6.98	8	8	213	3	1	1	1	4404	484	3	1	1	4
رنگ	7525	-4.36	42	50	675	22	8	8	8	169	110	14	14	14	3
غیر	7501	-3.84	44	48	116	25	19	19	19	1337	143	3	3	3	3
شناسی	7462	-5.56	6	10	577	37	25	15	2	4404	149	43	16	16	5
سپس	7447	-5.13	12	17	1010	31	1	1	1	478	8	2	2	2	3
جدید	7431	-5.02	14	20	471	24	8	6	6	1294	197	17	2	2	4
حالت	7364	-5.16	14	17	278	44	10	3	3	1252	44	15	1	1	4
زمانی	7320	-5.03	20	22	276	21	9	7	2	4404	484	274	39	3	5
چهار	7304	-5.14	6	8	234	30	23	23	23	1337	362	10	1	1	4
وارد	7291	-4.87	26	32	435	112	15	4	4	1294	146	34	6	6	4
پایان	7231	-5.03	14	20	748	159	27	4	3	2368	1181	171	21	3	5
دریا	7228	-4.91	24	28	909	184	22	14	14	940	92	14	2	2	4
المللی	7180	-8.02	2	4	1939	190	21	6	3	4404	276	1	1	1	6
اعلام	7158	-6.32	14	16	1939	55	7	5	2	673	140	12	1	1	5
فهرست	7157	-7.23	2	3	609	11	3	2	2	1252	132	7	1	1	5
آمده	7152	-4.57	10	12	646	72	5	1	1	2031	320	6	3	3	4
دیگری	7043	-6.05	2	4	909	120	7	4	1	4404	564	21	3	1	5
آمد	6970	-3.86	22	29	646	72	5	5	5	1294	33	6	6	6	3
واژه	6969	-4.99	12	14	435	112	6	1	1	2031	13	5	3	3	4
ادامه	6955	-6.5	8	8	1939	44	6	1	1	2031	92	37	1	1	5
حزب	6952	-5.79	6	7	278	2	2	2	2	354	1	1	1	1	3
افزایش	6944	-6.57	4	5	1939	83	20	11	5	391	71	36	2	1	6
دهند	6922	-5.26	12	18	909	44	6	3	3	1294	384	10	4	4	4
d	6903	-4.3	0	19	59	59	59	59	59	73	73	73	73	73	1
سده	6880	-4.86	34	41	1010	7	2	2	2	2031	320	1	1	1	3
عضو	6871	-5.5	4	5	387	7	3	3	3	399	1	1	1	1	3
شناخته	6863	-5.99	4	5	577	37	25	5	5	2031	140	24	10	2	6
مهم	6860	-4.61	26	31	2145	56	9	9	9	673	34	1	1	1	3
گردید	6854	-5.16	10	15	561	153	33	4	3	1294	197	17	4	2	5
زمینه	6796	-5.93	14	16	276	21	4	4	2	2031	242	39	6	1	5
طراحی	6767	-6.7	4	6	137	29	7	4	1	4404	24	8	2	1	5
گل	6750	-3.39	58	72	561	54	54	54	54	745	13	13	13	13	2
کوچک	6746	-5.08	10	14	1022	147	14	7	7	419	2	1	1	1	4
شهری	6742	-4.08	16	24	577	64	40	6	6	4404	564	13	3	3	4
خان	6722	-3.19	56	64	478	86	18	18	18	2368	1181	18	18	18	3
سیاسی	6693	-6.06	6	7	1010	153	32	7	1	4404	149	43	3	1	5
قمری	6688	-5.31	20	23	339	10	3	1	1	4404	564	9	1	1	4
معروف	6670	-6.5	2	4	2145	122	14	5	5	182	15	4	1	1	5
بندی	6647	-4.22	42	49	1387	81	24	2	2	4404	286	56	7	7	4
بدون	6634	-5.56	18	22	1387	57	4	1	1	2368	282	12	1	1	4
تبدیل	6625	-7.04	4	5	1030	38	3	2	2	745	139	4	2	1	5
کامل	6611	-5.03	26	31	1022	302	27	3	3	745	29	11	3	3	4
جرم	6536	-4.71	46	53	471	34	2	2	2	673	49	4	4	4	3
نامه	6529	-4.38	24	25	898	196	43	2	2	2031	92	37	26	26	4
اوج	6510	-4.65	34	37	1939	109	3	3	3	123	18	1	1	1	3
انتخاب	6503	-7.63	4	5	1939	206	35	5	5	354	120	3	1	1	6
غرب	6498	-4.53	26	33	116	15	5	5	5	354	23	4	4	4	3
درجه	6474	-5.31	6	8	909	184	6	1	1	2031	37	5	1	1	4
چنین	6472	-5.62	12	14	234	29	1	1	1	2368	443	21	4	4	4
قسمت	6471	-6.0	6	9	339	6	5	4	4	1252	42	2	1	1	4
افراد	6459	-5.95	8	10	1939	83	10	7	2	1294	179	9	1	1	5
اندازه	6451	-6.81	4	6	1939	206	44	15	7	2031	51	12	3	1	6
سمت	6421	-4.84	26	32	1010	35	2	2	2	1252	42	2	2	2	3
داستان	6406	-5.96	8	14	909	200	5	4	4	2368	1181	92	73	3	6
م	6395	-4.3	0	39	2145	2145	2145	2145	2145	673	673	673	673	673	1
گیری	6389	-4.43	30	34	561	49	11	2	2	4404	564	64	19	19	4
طریق	6344	-5.94	4	8	137	29	4	4	4	180	34	7	2	2	4
خط	6324	-3.92	18	25	478	21	21	21	21	62	3	3	3	3	2
شروع	6311	-6.1	6	8	577	46	6	1	1	134	17	3	3	3	4
قرن	6304	-4.57	20	25	339	54	5	5	5	2368	30	1	1	1	3
رسید	6298	-4.92	12	20	675	51	8	6	6	1294	197	9	3	3	4
علوم	6270	-5.34	6	8	387	48	4	1	1	673	74	6	3	3	4
جای	6263	-3.7	64	77	471	103	15	15	15	4404	567	3	3	3	3
دهه	6243	-5.22	20	24	909	44	2	2	2	2031	15	2	2	2	3
نرم	6242	-4.66	46	50	898	25	3	3	3	673	49	1	1	1	3
حضور	6229	-5.5	2	5	278	5	3	3	3	1337	218	1	1	1	4
مسجد	6208	-5.06	2	5	2145	116	4	4	4	1294	9	1	1	1	4
نسخه	6206	-6.33	0	1	898	24	2	1	1	2031	12	1	1	1	4
org	6204	-5.68	0	1	33	4	2	2	2	33	1	1	1	1	3
